sequence,song,artist,artist_slug,album,time,notes
1,Epilogue,Andrew Bird,andrew-bird,Outside Problems,06:28,Deftly plucked
2,BREAK
3,Phone the Kids,Sylvia's Taco Salad,sylvia-s-taco-salad,The Luncheon,01:09,It’s an emergency
4,Oslo Calling,Dub Narcotic,dub-narcotic,Out of Your Mind,04:03,Norway the hard way
5,Slash Your Tires,Luna,luna,Lunapark,04:47,Don’t mess with Dean
6,Intuition,Brooklyn Funk Essentials,brooklyn-funk-essentials,Intuition,04:16,Sometimes you just know
7,BREAK
8,Sueño Oscuro,Adanowsky,adanowsky,The Fool,03:22,Under the mellow starlight
9,Tarraxo 001,DJ Danifox,dj-danifox,Ansiedade,03:04,Scattered thoughts
10,Enough,Brian Eno,brian-eno,Secret Life,05:23,A message from the oceans
11,I Want A New Dub,Spacewalk,spacewalk,Spacewalk,08:01,We all want a new dub
12,BREAK
13,Towers of Dub,Dylan Group,dylan-group,Ur-Klang Search,06:41,Reverberational
14,Bridge,Amon Tobin,amon-tobin,Permutation,05:56,Doing it in 5
15,Dub 230,International Sangman,international-sangman,Death Roads and Spirit Ways 2,05:28,Wandering through the crystal forest
16,BREAK
17,Dream #3,Brittta Phillips + Kramer,brittta-phillips-kramer,,04:33,A good match
18,Dream in the Mist,Cornelius,cornelius,Dream in Dream,07:00,Flowing in a lucid state
19,Escape from Noise,Negativland,negativland,Escape from Noise,02:35,There is no escape
20,"(What's So Funny 'Bout) Peace, Love And Understanding",Los Straitjackets,los-straitjackets,"What's So Funny About Peace, Love And Los Straitjackets",03:15,Nick Lowe’s finest
21,BREAK
22,Livin’ in the after Dub (Adrian Sherwood 'Reset in Dub' Version),"Sonic Boom, Panda Bear and Adrian Sherwood",sonic-boom-panda-bear-adrian-sherwood,Reset in Dub (Adrian Sherwood 'Reset in Dub' Version),04:31,Nicely versioned
23,Mr. Bongo,Ursula 1000,ursula-1000,,02:12,Muy tropical
24,What a Waste,Curve & Ian Dury,curve-ian-dury,The Way Of Curve,05:04,Spaced out
25,The Great Gig in the Sky,The Sursiks,sursiks,Suave Side of the Moon,04:42,An engaging translation
26,BREAK
27,Agreement,Baaba Maal,baaba-maal,Being,04:49,Enter the hypnodrone
28,Hamburger Lady,Throbbing Gristle,throbbing-gristle,Entertainment Through Pain,04:12,She brings the condiments
29,Sickness (Slowly dying),The Bug,bug,Machine 2,03:36,Deconstruction time
30,BREAK
31,L'hawaïenne,La Femme,la-femme,Paris-Hawaï,08:07,Enjoy the midnight sunset
