sequence,song,artist,artist_slug,album,time,notes
1,Bite My Tongue,Islands,islands,And That's Why Dolphins Lost Their Legs,03:39,Draw some blood
2,BREAK
3,Act Natural,Margaret Glaspy,margaret-glaspy,Echo The Diamond,04:19,Wobbling guitars
4,My Own City,Bethany Cosentino,bethany-cosentino,Natural Disaster,03:16,An end of summer sound
5,Blue Over Blue,The Clientele,clientele,I Am not There Anymore,03:17,Subdued insinuation
6,BREAK
7,Haunted Mountain,Buck Meek,buck-meek,Haunted Mountain,05:12,A spooky place to live
8,Total Entertainment Forever,Father John Misty,father-john-misty,Pure Comedy,02:54,It’s neverending
9,Broken Bones,House of Freaks,house-of-freaks,,03:11,Low-key desperation
10,Sister,Pale Blue Eyes,pale-blue-eyes,This House,04:14,The shoegaze is back
11,BREAK
12,Do Rainbows Have Ends,The Brian Jonestown Massacre,brian-jonestown-massacre,The Future Is Your Past,03:23,Not at all
13,Old Man,Neil Young,neil-young,Harvest (50th Anniversary Edition),03:25,Worth a revisit
14,And She Was,Talking Heads,talking-heads,Little Creatures,03:40,Floating into space
15,BREAK
16,Last Stretch of the Road,Graham Parker & the Goldtops,graham-parker-goldtops,Last Chance to Learn the Twist,02:15,Still an original
17,Levitate Me,Pixies,pixies,Come On Pilgrim,02:37,Elevator lady
18,Extinction,Parquet Courts,parquet-courts,Wide Awake!,01:42,Ending it all
19,Japanese Buffalo,Cage The Elephant,cage-elephant,Thank You Happy Birthday,03:03,Manic energy
20,BREAK
21,Band On The Run,Paul McCartney & Wings,paul-mccartney-wings,"The 7"" Singles",05:13,The original extended mix
