sequence,song,artist,artist_slug,album,time,notes
1,Derek Spears,Grandaddy,grandaddy,Sumday: Excess Baggage,03:13,Your conscience is singing at you
2,BREAK
3,E.S.P.,Sonny & The Sunsets,sonny-sunsets,Self Awareness Through Macrame,03:08,Having a vision
4,Rain Dogs,Tom Waits,tom-waits,Rain Dogs (2023 Remaster),02:57,It's a state of mind
5,Super Afro-Beat,The Daktaris,daktaris,Soul Explosion,03:45,Truth in advertising
6,Souvlaki #3,Boom Pam,boom-pam,Boom Pam,03:42,Odd meters and tuba gymnastics
7,BREAK
8,Numb,Beach Fossils,beach-fossils,Bunny,04:20,Crashing out
9,Agastopia,Draag,draag,Dark Fire Heresy,03:58,Spooling out chords
10,Questions And Answers,The Apples In Stereo,apples-in-stereo,Her Wallpaper Reverie,02:54,Getting Socratic
11,BREAK
12,People Are Toys To You,Joanna Sternberg,joanna-sternberg,I've Got Me,02:44,We all know one
13,Fresh Blood,Eels,eels,Hombre Lobo,04:25,Sulking in style
14,Six Months in a Leaky Boat,Split Enz,split-enz,History Never Repeats: The Best Of Split Enz,04:21,Circumnavigate the globe
15,Gouge Away,The Promise Ring,promise-ring,Where Is My Mind: A Tribute To The Pixies,03:00,Making it fit better
16,BREAK
17,St. Charles Square,Blur,blur,The Ballad of Darren (Deluxe),03:55,Where it happened
18,Hippie Soldier,The Orwells,orwells,Terrible Human Beings,03:30,A juxtapositional person
19,She's Weird,Ascensions,ascensions,"All Your Ears Can Hear: Underground Music in Victoria, BC 1978-1984",01:21,Everybody said so
20,BREAK
21,Now I'm Freaking Out,Ween,ween,The Brown Sides,05:08,Here comes the madness
