sequence,song,artist,artist_slug,album,time,notes
1,Everybody's Gone to Sleep,Sparklehorse,sparklehorse,Bird Machine,04:31,Recently unearthed
2,BREAK
3,See the Light,Teenage Fanclub,teenage-fanclub,Nothing Lasts Forever,03:22,Smooth sailing
4,Divine Hammer,The Breeders,breeders,Last Splash (30th Anniversary Edition),02:38,Sparkling like new
5,The District Sleeps Alone Tonight,The Postal Service,postal-service,Give Up,04:44,The robots have developed feelings
6,BREAK
7,Hey Hey Go Away,Medicine,medicine,Silences,03:12,Overwhelming density
8,You Don't Love Me Yet,Bongwater,bongwater,Box of Bongwater,05:14,Originally from Roky Erikson
9,When You Sleep,My Bloody Valentine,my-bloody-valentine,Loveless,04:12,Dimensional shifts in sound
10,BREAK
11,Stretching,Snõõper,snooper,Super Snõõper,01:09,It’s all together all at once
12,Denial,Hell Baby,hell-baby,Burnt,02:17,Can’t accept it
13,Balboa,Downtown Harvest,downtown-harvest,Discovering Dinosaurs,04:12,Carnival funk
14,Weapon of Mass Destruction,Andre Williams & The Sadies,andre-williams-sadies,Red Dirt,02:20,A true original
15,BREAK
16,两条腿的狗和三角形剧院,No.33 Island (33岛),no-33-island-33,Dog & Stage (寻找王国),03:57,"Jiang Zhendong, two-legged dog and triangular theater"
17,She Don't Like Me,The Giant Robots,giant-robots,Fuzz You,02:06,That’s putting it mildly
18,Copa Sete No Samba,Copa 7,copa-7,Mr Bongo Record Club Volume Six,02:58,Tropical sunshine tincture
19,Vuma,Meshell Ndegeocello feat. Thandiswa & Joel Ross,meshell-ndegeocello-feat-thandiswa-joel-ross,The Omnichord Real Book,03:01,Sinuous bass
20,BREAK
21,Closed Eyes,Woody and Jeremy,woody-jeremy,Gravy in My Coffee,03:45,Slowing down
