sequence,song,artist,artist_slug,album,time,notes
1,Kenneth,Little Dragon,little-dragon,Slugs of Love,03:49,Interrogating for a frequency
2,BREAK
3,Locals (Girls like us),"underscores, gabby start",underscores-gabby-start,Wallsocket,04:18,Decomposed
4,Unflappable,El Flaco,el-flaco,Thub,04:35,Cannot be flapped
5,Corrugated Chest,Billiam,billiam,Corner Tactics,01:22,Set all the dials to 10
6,BREAK
7,Pelican,Islands,islands,And That's Why Dolphins Lost Their Legs,03:25,Vaporwarehouse
8,Abort,Tribe,tribe,Abort,03:23,Fragments of indie Boston
9,Bad Boyfriend,Pansy Division,pansy-division,The Essential Pansy Division,02:29,A classic
10,Here Comes a Regular (Ed Stasium Mix),The Replacements,replacements,Tim (Let It Bleed Edition),04:56,Is it the same song?
11,BREAK
12,Natural One,The Folk Implosion,folk-implosion,Music For KIDS,03:09,For your ominous childhood
13,Turn The Engine,Margaret Glaspy,margaret-glaspy,Echo The Diamond,03:22,Motivational ingredients
14,Jockey Full Of Bourbon,Tom Waits,tom-waits,Rain Dogs (2023 Remaster),02:47,Drinking from a broken cup
15,BREAK
16,Moving On,Explosions In The Sky,explosions-in-sky,End,04:34,Bombastic AF
17,Cell Mates,The Bronx,bronx,Mariachi El Bronx (I),02:36,Give me the three
18,Coquet Coquette,Of Montreal,of-montreal,False Priest,03:44,Such yeh yeh
19,The Love Cats,The Cure,cure,Japanese Whispers,03:40,In a more playful mood
20,BREAK
21,Gameshow Rag/Cannon Ball Rag,Tommy Emmanuel,tommy-emmanuel,The Guitar Mastery of Tommy Emmanuel,02:26,Everyone’s a winner
