sequence,song,artist,artist_slug,album,time,notes
1,Undergrowth,Squid,squid,O Monolith,06:36,O mighty kraken
2,BREAK
3,HEAD,Jeff Rosenstock,jeff-rosenstock,HELLMODE,01:31,Trying to keep up
4,Waile,W.I.T.C.H.,w-i-t-c-h,Zango,05:16,Mighty mighty Zamrock
5,Trouble Is My Beeswax,Cigarbox Planetarium,cigarbox-planetarium,Cigarbox Planetarium,02:42,And beeswax is good
6,Subaru Crosstrek XV,Hobo Johnson,hobo-johnson,The Fall of Hobo Johnson,02:35,Not quite there yet
7,BREAK
8,"Black Earth, WI",Ratboys,ratboys,The Window,08:34,Undulating
9,Renaissance of Reconnaissance,Kid Koala,kid-koala,Creatures of the Late Afternoon,01:15,Interlude
10,This Purple Child,Howe Gelb + Grandaddy,howe-gelb-grandaddy,Hisser,05:42,Waiting in the dust
11,It's You,Cassandra Jenkins,cassandra-jenkins,Covers of Covers,04:16,Harps a plenty
12,BREAK
13,Hot Dub Party,Spacewalk,spacewalk,Spacewalk,06:33,Turn on the jets
14,Lazy Bones,Wooden Shjips,wooden-shjips,West (Deluxe Version),03:54,Eating up the miles
15,Bleeding Heart Tetra,North Americans,north-americans,Going Steady,04:11,Yonder horizon
16,BREAK
17,Melody Experiment,Blonde Redhead,blonde-redhead,Sit Down For Dinner,05:10,I believe it’s working
18,Burner,Trees Speak,trees-speak,Mind Maze,01:44,Compressor dronage
19,Machina Machina,Snapped Ankles,snapped-ankles,Blurtations,04:43,Infinite patience
20,Ojo Abameta,The Shaolin Afronauts,shaolin-afronauts,Follow the Path,05:27,Quite invincible
21,BREAK
22,Saudade,Chinese Man,chinese-man,Racing With the Sun,04:48,A bass in the shadows
23,Waking Up,Nolan Potter's Nightmare Band,nolan-potter-s-nightmare-band,HONEY - Tales From The Library Of The Occult,02:18,It’s dark outside
24,Underwater,Pale Blue Eyes,pale-blue-eyes,This House,07:14,Coming up for air
25,Miles Away,Yo La Tengo,yo-la-tengo,This Stupid World,07:30,Drifting across the lanes
26,BREAK
27,Golden Dub,Hollie Cook,hollie-cook,Happy Hour in Dub,04:33,Feel the shimmer
28,Knowledge of One's Ori,African Music Drums Collection,african-music-drums-collection,"Yoruba Meditation: Spiritual African Drums, Tribal Healing, Deep Trance, African Soundscapes",03:18,Entranced
29,Whirlpool Dub (Adrian Sherwood 'Reset in Dub' Version),"Sonic Boom, Panda Bear and Adrian Sherwood",sonic-boom-panda-bear-adrian-sherwood,Reset in Dub (Adrian Sherwood 'Reset in Dub' Version),05:02,Round and round
30,BREAK
31,Virgo 3,Meshell Ndegeocello,meshell-ndegeocello,The Omnichord Real Book,06:54,Return to orbit
