sequence,song,artist,artist_slug,album,time,notes
1,The Stuff,Allah-Las,allah-las,Zuma 85,03:57,"Lay back, relax"
2,BREAK
3,Mike Love Not War,Oranger,oranger,Doorway to Norway,04:19,Could you be all I want to know?
4,Oceans in the Hall,The Ladybug Transistor,ladybug-transistor,Old Enough to Know Better: 15 Years of Merge Records,03:36,Sounds like a sunset cruise
5,Tiny Bongs,The Moore Brothers,moore-brothers,On & Out,02:52,For Underdog in Japan
6,Creme Brulee,Shrimp Boat,shrimp-boat,Cavale,03:59,Doleful dessert
7,BREAK
8,Rewind or Die,Karate School Dropout,karate-school-dropout,Welcome to the Dojo,03:16,It’s the law
9,Bad Mouth,Authority Zero,authority-zero,Silence Is A Dangerous Sound: A Tribute To Fugazi,02:46,Originally from Fugazi
10,Kan-U-Guru,Lo-Lite,lo-lite,Sidekicks,02:01,What a racket
11,Since You Said So Long,The Pilgrims,pilgrims,Plymouth Rock - EP,02:05,A sad story
12,BREAK
13,Illuminated,Pale Blue Eyes,pale-blue-eyes,This House,03:48,An infinite conveyor belt
14,Halves And Have-Nots,Mates Of State,mates-of-state,Our Constant Concern,01:57,With a fast waltz
15,El Entro,Dojo Cuts feat. Roxie Ray,dojo-cuts-feat-roxie-ray,Record Kicks Afro Sides,01:07,Just long enough
16,Twist And Crawl,The English Beat,english-beat,Jon Savage's 1980-1982 - The Art Of Things To Come -CD 1,02:32,Mind the shards
17,BREAK
18,Eye On The Bat,Palehound,palehound,Eye On The Bat,02:57,Rolling jangle
19,Up Nights,Ha Ha Tonka,ha-ha-tonka,Buckle in the Bible Belt,03:18,For the cannot sleep
20,Wichita Lineman,Glen Campbell,glen-campbell,Loungin': The Easy Pop Album,03:04,Those strings
21,Bastards of Young (Ed Stasium Mix),The Replacements,replacements,Tim (Let It Bleed Edition),03:38,Sparkling with menace
22,BREAK
23,Buena,Morphine,morphine,Cure For Pain,03:19,Sandman’s low rumble
