sequence,song,artist,artist_slug,album,time,notes
1,Fitness,Snõõper,snooper,Super Snõõper,01:55,Get active
2,BREAK
3,Low Testosterone,Billiam,billiam,Corner Tactics,01:08,Take some supplements
4,Portrait Of God,King Tuff,king-tuff,Smalltown Stardust,03:40,Smooth English roads
5,Message From W.I.T.C.H.,Witch,witch,Zango,02:59,Pay attention
6,BREAK
7,Victorian Slumhouse,Ratboys,ratboys,Printer's Devil,04:20,With lots of roommates
8,"Hey, Hey, Hey, Hey",House of Freaks,house-of-freaks,Invisible Jewel,02:20,Unnerving
9,She Divines Water,Camper Van Beethoven,camper-van-beethoven,Our Beloved Revolutionary Sweetheart,03:52,Dowsing in spirals
10,Hung Up,MC Honky,mc-honky,I Am the Messiah,03:41,You rang?
11,BREAK
12,Drivin' on 9,The Breeders,breeders,Last Splash (30th Anniversary Edition),03:22,Road music
13,Come Dancing,The Kinks,kinks,State of Confusion,03:56,What a comeback
14,Way Out There,Sons Of The Pioneers,sons-of-pioneers,Ultimate Collection,02:50,Pick up some Huggies
15,Sorry Mama,Westbound Train,westbound-train,Transitions,04:43,Simmering to a slow boil
16,BREAK
17,Cops and robbers,underscores,underscores,Wallsocket,04:26,A variety of approaches
18,You Got It,Brassy,brassy,Got It Made,02:42,I can’t wait
19,Quiten El Trap,Molotov,molotov,Sólo D'Lira,02:38,Very spicy
20,Dirty Back Road,B-52's,b-52-s,Jon Savage's 1980-1982 - The Art Of Things To Come -CD 1,03:22,Deep deep cuts
21,BREAK
22,HEALMODE,Jeff Rosenstock,jeff-rosenstock,HELLMODE,03:22,Slow it down a minute
