sequence,song,artist,artist_slug,album,time,notes
1,Largest Muscle,Cheekface,cheekface,Largest Muscle [SINGLE],03:13,Thump thump
2,BREAK
3,Rigor Mortis Radio,The Hives,hives,The Death of Randy Fitzsimmons,02:29,Stiffer by the minute
4,C'Mon,Kitty In The Tree,kitty-in-tree,Hello Kitty,02:11,A lost classic
5,Go Ahead And Cry,Metric,metric,Formentera II,04:03,Feeling wistful
6,Waitress in the Sky (Ed Stasium Mix),The Replacements,replacements,Tim (Let It Bleed Edition),02:08,Hotten that coffee
7,BREAK
8,Taxi After Taxi,Spencer Krug,spencer-krug,I Just Drew This Knife,04:07,Making yourself uncomfortable
9,Monica,Railroad Jerk,railroad-jerk,Masterpiecemeal,03:16,Break out the toy chest
10,Money,Sault,sault,Today & Tomorrow,02:34,Frantic frantic frantic
11,Something to Hide,The Streets,streets,The Darker The Shadow The Brighter The Light,03:14,With a dubby feel
12,BREAK
13,Button Down Disco (Fila Brazilla Remix),Clinton,clinton,Luaka Bop Remix,04:38,Sampling ‘80s Eurovision
14,G-String,Los Amigos Invisibles,los-amigos-invisibles,Not So Commercial,03:08,Do not blink
15,Forever Song,Mosquitos,mosquitos,Mosquitos,02:30,Like warm rain
16,BREAK
17,Powers,Boygenius,boygenius,the rest,04:15,Insistent and Wrens-like
18,Greasy Spoon,AK Momo,ak-momo,Return To N.Y.,02:40,More coffee
19,New South Wales,The Royal Arctic Institute,royal-arctic-institute,From Catnap To Coma To Catharsis,03:03,Iced in
20,Psychos,Jenny Lewis,jenny-lewis,Joy'All,03:05,Sounding like Laurel Canyon
21,BREAK
22,Swiftly (The Right One),Creation Rebel,creation-rebel,Hostile Environment,04:17,But not too swiftly
