sequence,song,artist,artist_slug,album,time,notes
1,Food in the House,The Pilgrims,pilgrims,,01:59,It’s the best
2,BREAK
3,Family Functions,that dog.,that-dog,,02:22,More from Petra Haden in a bit
4,Kitchen,Binder + Krieglstein,binder-krieglstein,,03:46,Sounds like a happy kitchen
5,Magnetize Your Food,The Evolution Control Committee,evolution-control-committee,,03:37,Magnetize your kittens!
6,Lost in the Supermarket,The Clash,clash,London Calling: 25th Anniversary Edition,03:47,Still very relevant
7,BREAK
8,Salmon,Applied Communications,applied-communications,Archive AF,03:47,Not the usual dish
9,Savoy Truffle,The Beatles,beatles,,02:54,It’s way too much
10,Heinz Baked Beans,Petra Haden,petra-haden,,01:10,From the Who Sell Out
11,Mo' Taters,The Earthworms,earthworms,,02:09,Don't want no meat
12,BREAK
13,Pollo Asado,Ween,ween,,02:47,Baskeh of cheeps
14,Turkey Pot Pie,Money Mark,money-mark,,04:06,Funky pot pie
15,Pumpkins,Eskimo,eskimo,,01:11,Frantic and orange
16,Save Your Fork There's Pie,Atomic 7,atomic-7,...Gowns By Edith Head,02:30,There’s pie!
17,BREAK
18,Peaches,The Presidents of The United States of America,presidents-of-united-states-of-america,,02:51,How apropos
19,Rum & Coca Cola (JoJo Effect Remix),Andrews Sisters,andrews-sisters,,03:04,Morey Amsterdam is a jerk
20,Mommie's Drunk,Maow,maow,,01:33,Feat. Neko Case
21,Oral Hygiene,"Bongos, Bass, and Bob",bongos-bass-bob,"Never Mind the Sex Pistols: Here's Bongos, Bass, and Bob!",02:35,Love your teeth
22,(I Got A) Stomach Ache,Buddy Guy,buddy-guy,Archive AU,03:28,No one asked for it
23,BREAK
24,Thank You,Kashmere Stage Band,kashmere-stage-band,,05:02,Gratitude is the real dessert
