sequence,song,artist,artist_slug,album,time,notes
1,Holding the Ocean,Tommy Guerrero,tommy-guerrero,Amber of Memory,04:09,Gentle strummings
2,BREAK
3,Snowman,Blonde Redhead,blonde-redhead,Sit Down For Dinner,05:15,Through gauzy curtains
4,Since You've Seen Her,Black Moth Super Rainbow,black-moth-super-rainbow,,01:56,Kaleidoscopic seizures
5,I Became the Unemployment Office,Goat,goat,Medicine,05:13,It happens
6,BREAK
7,Bad Vibes,Nolan Potter's Nightmare Band,nolan-potter-s-nightmare-band,HONEY - Tales From The Library Of The Occult,03:33,Very bad vibes
8,Medicine,Clark,clark,Sus Dog,05:12,Stretched quite thin
9,Liquid Air,Temples,temples,Exotico,05:56,Feel the cryogenic breeze
10,Kick the Tragedy,Drop Nineteens,drop-nineteens,Delaware,08:56,Overwhelming
11,BREAK
12,Full Moon Dub,Hollie Cook,hollie-cook,Happy Hour in Dub,03:39,Howling
13,Lady,Ezra Collective,ezra-collective,"Straight from the Decks, Vol. 3 (Guts Finest Selection from His Famous DJ Sets)",05:28,Bring the hypnogroove
14,Reflexão,RS Produções,rs-producoes,Verão Dark Hope,03:49,Amazonian darkness
15,BREAK
16,Through the Mosaic,Tommy Guerrero,tommy-guerrero,Amber of Memory,04:18,Understated as always
17,Sweatshop,Brazilian Girls,brazilian-girls,Talk To La Bomb,04:36,Working hard
18,The Silver Cord,King Gizzard & The Lizard Wizard,king-gizzard-lizard-wizard,The Silver Cord,04:20,Tenuous and shimmering
19,Sinatra Drive Breakdown,Yo La Tengo,yo-la-tengo,This Stupid World,07:25,Bring the drones
20,BREAK
21,The Fish Needs A Bike,Snapped Ankles,snapped-ankles,Blurtations,05:02,Surrealism
22,Motorbike,Wooden Shjips,wooden-shjips,Dos,04:49,Heavy rolling
23,Oh Yeah,Can,can,Tago Mago (40th Anniversary Edition),07:23,Very affirmative
24,BREAK
25,Strawberry Jam,Fizz,fizz,The Secret To Life,04:36,All mixed together
26,Only Shallow,Japancakes,japancakes,Loveless,04:49,Woozing
27,Angel,Drop Nineteens,drop-nineteens,Delaware,05:22,Originally from Madonna
28,BREAK
29,Shameful Dread,Built To Spill,built-to-spill,Ultimate Alternative Wavers,08:29,Epic strangulation
