sequence,song,artist,artist_slug,album,time,notes
1,Life Admin,Jeff Rosenstock,jeff-rosenstock,HELLMODE,02:43,A slice of life
2,BREAK
3,U Want It U Got It,Palehound,palehound,Eye On The Bat,02:28,Don’t look away
4,Obsessive Compulsive,Karate School Dropout,karate-school-dropout,Welcome to the Dojo,02:51,Can’t stop thinking
5,The Eyes Of The Night,The Starlight Mints,starlight-mints,Drowaton,02:51,For your spooky season
6,Cannonball (2023 Remaster),The Breeders,breeders,Last Splash (30th Anniversary Edition),03:33,The clicks will get you
7,BREAK
8,Mambo Lola,Tupelo Chain Sex,tupelo-chain-sex,4!,03:59,Quite the tale
9,My Big Day,Bombay Bicycle Club,bombay-bicycle-club,My Big Day,02:48,Weezing along
10,Kim Cattrall,Speedy Ortiz,speedy-ortiz,Rabbit Rabbit,03:18,Another famous polka
11,We're Gonna Die in This House,Dan Ex Machina,dan-ex-machina,"All Is Ours, Nothing Is Theirs",03:34,"Waltzes and death, the perfect match"
12,BREAK
13,Unable,Snõõper,snooper,Super Snõõper,01:32,Chainsaw time
14,New Big Prinz,The Fall,fall,I Am Kurious Oranj,03:26,Check the record
15,Leather Pepper,Billiam,billiam,Corner Tactics,02:28,Me-me-me-me-wah-wah-wah-wah
16,You don't even know who I am,underscores,underscores,Wallsocket,04:04,Fragmented positivity
17,BREAK
18,Moliendo Cafe,Aldemaro Romero y Su Onda Nueva,aldemaro-romero-y-su-onda-nueva,Venezuela 70 - Volume 2: Cosmic Visions of a Latin American Earth - Venezuelan Experimental Rock in the 1970's & Beyond,02:18,Having a tropical time
19,Nobody Smokes Anymore,Robert Ellis,robert-ellis,Live at Stubb's,03:34,True that
20,Doin' It,Lionel Limiñana,lionel-liminana,The Ballad of Linda L. (OST),03:44,Are they?
21,Tanguedia (for Astor Piazzolla),Monks Of Doom,monks-of-doom,Forgery,02:46,Intricate clockwork
22,BREAK
23,Anytime You Call (feat. Lucius),Margo Price,margo-price,Strays II,03:48,A stately progression
