sequence,song,artist,artist_slug,album,time,notes
1,Marriage,The Bug Club,bug-club,Rare Birds: Hour of Song,03:36,Meeting about nuclear power
2,BREAK
3,"Archie, Marry Me",Alvvays,alvvays,Alvvays,03:17,Lush sounds
4,Stop Making My Life Hell,Bark Bark Disco,bark-bark-disco,Your Mum Says Hello,02:57,A simple request
5,No Aloha (2023 Remaster),The Breeders,breeders,Last Splash (30th Anniversary Edition),02:07,Sliding it higher and higher
6,I Knew You Would Go,Aden,aden,Black Cow,01:50,A short hop back
7,BREAK
8,An Ear To The Chest,Lewsberg,lewsberg,Out And About,03:00,Feeling like Lou Reed
9,What Do You Know,The Left Banke,left-banke,There's Gonna Be A Storm - The Complete Recordings 1966-1969,03:04,Going out to Scott Beckey
10,Can't Let a Damn Thing Go,Hank May,hank-may,Tails,03:18,Slowing it down
11,Ice Cream (Pay Phone),Black Pumas,black-pumas,Chronicles of a Diamond,03:53,Swirling away
12,BREAK
13,Daddy's Gone,Sparklehorse,sparklehorse,Bird Machine,02:49,A sad departure
14,Shake Some Action,The Flamin Groovies,flamin-groovies,Groovies Greatest Grooves,04:34,The archetype of power pop
15,Why Do You Let Me Stay Here?,She & Him,she-him,Volume One,02:32,Old fashioned
16,BREAK
17,Too Far Gone,Islands,islands,And That's Why Dolphins Lost Their Legs,03:39,Sounding not that urgent
18,She's Got The Akshun!,Butterglory,butterglory,Old Enough to Know Better: 15 Years of Merge Records,03:19,She totally does
19,Watercooler,Grandaddy,grandaddy,Blu Wav,04:27,Working the flannel
20,Be Gentle,The Drums,drums,Jonny,03:56,Mellowing out
21,BREAK
22,Sicilian Civilian,Seks Bomba,seks-bomba,Somewhere in This Town,02:58,Perfectly legit
