sequence,song,artist,artist_slug,album,time,notes
1,I Just Died,Fizz,fizz,The Secret To Life,03:37,Off kilter and loving it
2,BREAK
3,Hot! Heat! Wow! Hot!,Psychedelic Porn Crumpets,psychedelic-porn-crumpets,Fronzoli,03:33,Staggering in threes
4,Substance Abuse,The Make-Up,make-up,I Want Some,02:30,Getting on the right track
5,Too Good at Raising Hell,The Struts,struts,Pretty Vicious,03:49,The power pop is strong
6,BREAK
7,Real Good Problem to Have,Fastball,fastball,The Deep End,03:09,It’s got that Oranger twist
8,For Love,Lush,lush,Spooky (2023 Remaster),03:29,Phased to perfection
9,Malibu (feat. Jonathan Wilson & Buck Meek),Margo Price,margo-price,Strays II,03:37,Very sultry
10,BREAK
11,The Rabbi,Blur,blur,The Ballad of Darren (Deluxe),02:44,Excited boredom
12,Rock the Casbah (Remastered),The Clash,clash,Combat Rock + The People's Hall,03:42,Sharif don’t like it
13,You Always Want to Bomb the Middle East,Cheekface,cheekface,Too Much to Ask,03:47,I suppose it happens
14,Lamentation Walloo,Boogie Balagan,boogie-balagan,Lamentation Walloo,04:26,Crossing borders
15,BREAK
16,A Night To Remember,beabadoobee & Laufey,beabadoobee-laufey,A Night To Remember,03:53,Not the Bossa me
17,Rum & Coca Cola (Shake It Up Well) (Radio Mix),Tim Tim,tim-tim,Select 2009 - Music for our friends by Claude Challe & Jean-Marc Challe,02:55,Morey Amsterdam is still a jerk
18,The Ent's,What!,what,Friends,03:52,It must be about giant talking trees
19,BREAK
20,Superstition,Stevie Wonder,stevie-wonder,Number Ones,04:29,Originally written for Jeff Beck
