sequence,song,artist,artist_slug,album,time,notes
1,Leopard-Skin Pill-Box Hat,Cat Power,cat-power,Cat Power Sings Dylan: The 1966 Royal Albert Hall Concert,3:43,Originally from Bob Dylan
2,BREAK
3,Dilemma Us from Evil,Psychedelic Porn Crumpets,psychedelic-porn-crumpets,Fronzoli,3:03,Silver glitter rocket ride
4,Busted,Andre Williams & The Sadies,andre-williams-sadies,Red Dirt,2:40,Nobody hits rock bottom as hard
5,Rachel,The Jon Spencer Blues Explosion,jon-spencer-blues-explosion,Jon Spencer Blues Explosion,2:26,Fire in the hole
6,School's Out,The Donnas,donnas,In Their Eyes,3:17,"Not quite summer, but you get it"
7,BREAK
8,Ruins,John P. Strohm,john-p-strohm,Something To Look Forward To,2:11,Feels like Harrison
9,In The Aeroplane Over The Sea,Neutral Milk Hotel,neutral-milk-hotel,In The Aeroplane Over The Sea,3:22,The sound of a million dorm rooms
10,Süddeutsches Ton-Bild-Studio,Beirut,beirut,Hadsel,5:23,Another sad waltz
11,Mambo Jambo,Dave Barbour,dave-barbour,Ultra-Lounge / Mambo Fever Volume Two,3:01,Hotten up the night
12,BREAK
13,Heatwave,Looper,looper,A Luminous Place,2:07,Singularly synthetic summer
14,Mama Loves Nortec,Nortec Collective,nortec-collective,Tijuana Sound Machine,3:19,Mama got it right
15,N.Y. '79,Laika & The Cosmonauts,laika-cosmonauts,Local Warming,3:42,Ready for the brownout
16,The Darker The Shadow The Brighter The Light,The Streets,streets,The Darker The Shadow The Brighter The Light,2:40,Old fashioned or new fangled
17,BREAK
18,Swim,Surfer Blood,surfer-blood,Swim,3:19,Oceanic reverberations
19,Mister Do You Have Time For Sittin?,The Bug Club,bug-club,Rare Birds: Hour of Song,3:32,Fancy a mosey
20,Serpent Head Crushed,Half-Handed Cloud,half-handed-cloud,Learning About Your Scale,1:38,Fragments aplenty
21,Fiesta,Ween,ween,La Cucaracha,2:14,Arriba!
22,BREAK
23,Another good year for the roses,Kurt Vile,kurt-vile,Back to Moon Beach,5:35,Blooming time
24,Appalachian Death Sigh,Bill Fox,bill-fox,Shelter From The Smoke,3:21,A stranger through and through
25,Why Aren't You Smiling,The Mommyheads,mommyheads,Coney Island Kid,3:37,Mid century moderns
26,February Punk,Superchunk,superchunk,"Misfits & Mistakes: Singles, B-sides & Strays 2007-2023",2:47,Just couldn’t wait
27,BREAK
28,I want to go outside!!!!!,Pacing,pacing,Real Poetry...,2:11,Snap your fingers
29,I Wanna Do It,Earth Girl Helen Brown,earth-girl-helen-brown,Sonny Smith's 100 Records Volume 2: I Miss The Jams,2:36,Classic future retro
30,Richie Dagger's Crime,The Posies,posies,Germs (Tribute): A Small Circle Of Friends,2:57,Originally from Germs
31,The Harder They Come,Joe Jackson,joe-jackson,Classic Joe Jackson,3:54,Originally from Jimmy Cliff
32,BREAK
33,que suprise,bar italia,bar-italia,The Twits,3:13,Disorganized thinking
34,Hi-Ace,Low Frequency In Stereo,low-frequency-in-stereo,Travelling Ants Who Got Eaten by Moskus,2:03,Drag race preparatory
35,Cheap Chrome,The Serfs,serfs,Half Eaten By Dogs,3:38,Shiny shiny
36,Sail On,Medicine,medicine,Silences,3:51,Steady breezes
37,BREAK
38,Rape Me (2023 Remaster),Nirvana,nirvana,In Utero (30th Anniversary Super Deluxe),2:50,No punches pulled
39,Meyrin Fields,Broken Bells,broken-bells,The Ghost Inside,2:48,A mood for disaster
40,Wild Cats of Kilkenny,The Pogues,pogues,Rum Sodomy & The Lash (Expanded Edition),2:49,Ride away!
41,Ozone Scraper,DJ Shadow,dj-shadow,Action Adventure,3:31,Smell the neon
42,BREAK
43,Hey! Music!,Atom™,atom,Die Seiner,6:42,Indeed
44,Internacional,Brazilian Girls,brazilian-girls,New York City,6:22,Bring the batucada
45,Hot Stenographer,Kinski,kinski,Alpine Static,5:27,Silence in the courtroom
46,BREAK
47,PYRAMIDS,The Comet Is Coming,comet-is-coming,Hyper-Dimensional Expansion Beam,4:50,Observe the skies
48,Section 48 (Shadows On The Hillside),The Polyphonic Spree,polyphonic-spree,Salvage Enterprise,5:57,Progressive meddling
49,BREAK
50,OK Seke Bien (feat. Sekelembele),Fulu Miziki,fulu-miziki,Ngbaka,5:52,Ritual digital
51,Riviera Beat,Montefiori Cocktail,montefiori-cocktail,Il caffè italiano: Bologna (Italian Lounge Espresso Music),5:02,Swim up to the bar
52,Last Chance To Dance,"Medeski, Martin + Wood",medeski-martin-wood,Friday Afternoon In the Universe,7:40,Everyone take a turn
53,BREAK
54,Panty Shots,Country Teasers,country-teasers,Satan Is Real Again,4:33,Line ‘em up!
