sequence,song,artist,artist_slug,album,time,notes
1,Out For Milk,Lewsberg,lewsberg,Out And About,02:52,Isn’t it great?
2,BREAK
3,Short And Round,The Bug Club,bug-club,Rare Birds: Hour of Song,02:41,A really nice haircut
4,Eyes Adjust to Light,Irving,irving,Good Morning Beautiful,04:15,Traveling near the speed of sound
5,The Secret To Life,Fizz,fizz,The Secret To Life,02:52,Don’t tell anyone
6,Check It Over,Deathray,deathray,Deathray,02:10,Gives me the zaps
7,BREAK
8,A Hitch,Drop Nineteens,drop-nineteens,Hard Light,03:28,Eccentric orbits
9,Suckers,Metric,metric,Formentera II,04:29,For the Scott Pilgrim fans
10,Swingin' Spaceman,Tipsy,tipsy,Buzzz,02:24,Pinapples in the vacuum
11,Boom,Lo-Fi-Fnk,lo-fi-fnk,Boom,03:43,Bringing the boing
12,BREAK
13,Heart-Shaped Box,Nirvana,nirvana,In Utero (30th Anniversary Super Deluxe),04:41,Leaves you hanging
14,You Are My Matinee,Parker And Lily,parker-lily,Here Comes Winter,02:45,With flickering lights
15,life goes by,almost monday,almost-monday,Fall College EP 2023 [EP],02:34,So fast
16,Horror Business,Superchunk,superchunk,"Misfits & Mistakes: Singles, B-sides & Strays 2007-2023",02:35,Originally from the Misfits
17,BREAK
18,Worst Mom,Sarah Klang,sarah-klang,Mercedes,03:01,You know who you are
19,Girl,Sex Clark Five,sex-clark-five,The Orange Album,01:32,More alternate timeline transmissions
20,I Got Use Of My Legs,Sex Clark Five,sex-clark-five,,00:54,Both of them
21,Wild Boar Problem,Nevada Bachelors,nevada-bachelors,Carrots & So On,03:49,It’s real
22,BREAK
23,The Go In The Go-For-It,Grandaddy,grandaddy,Sumday,03:40,Just forward my mail
