sequence,song,artist,artist_slug,album,time,notes
1,Free For All,DJ Shadow,dj-shadow,Action Adventure,02:30,Cranking it up
2,BREAK
3,Corduroy,Los Amigos Invisibles,los-amigos-invisibles,Not So Commercial,03:36,Taking flight
4,Alocatel,Mexican Institute of Sound,mexican-institute-of-sound,Soy Sauce,03:40,Telecom madness
5,Samba De Uma Nota So,Nara Leao,nara-leao,Nara Dez Anos Depois,02:09,"Only need one, if it’s a good one"
6,A Good Man,House of Freaks,house-of-freaks,Cakewalk,05:12,An important assessment
7,BREAK
8,Infatuation,Fastball,fastball,The Deep End,02:32,A nice Texas shuffle
9,Fuzzy Little Piece Of The World,The Pontiac Brothers,pontiac-brothers,Fuzzy Little Piece Of The World,03:02,Bring it home
10,Zorbing,Stornoway,stornoway,Beachcomber’s Windowsill,03:29,Everyone wants to go zorbing
11,She's on Drugs,The Jazz Butcher,jazz-butcher,Cult of the Basement,03:54,She’s not from here
12,BREAK
13,Noodles,Cheekface,cheekface,Too Much to Ask,00:57,Doodles
14,North Carolina,The Oranges Band,oranges-band,All Around,02:31,The saddest chords
15,In The Hours Of Flowers,Vells,vells,Flight from Echo Falls,03:00,An intense blooming
16,A Long Walk,Thomas Function,thomas-function,Celebration!,04:01,Frantic appeals
17,North Yorkshire Coastline,Boyracer,boyracer,Sunlight Is the Best Antiseptic,01:56,Lovely noisy
18,BREAK
19,I Like It That Way,The Real Tuesday Weld,real-tuesday-weld,,03:17,A sauntering pace
20,Moon River,Sondre Lerche,sondre-lerche,Understudy,01:47,Minimalized
21,She Doesn't Get It,The Format,format,Dog Problems,03:51,Impossibly hooked
22,BREAK
23,F! Is For Filth,Tracker,tracker,Blankets : Recordings for the Illustrated Novel,02:21,Yet somehow majestic
