sequence,song,artist,artist_slug,album,time,notes
1,Deep Blue Shade,Ozric Tentacles,ozric-tentacles,Lotus Unfolding,05:09,Digital cephalopods
2,BREAK
3,Brave Hearted Woman,Crime & The City Solution,crime-city-solution,the killer,05:14,Feel the night rain
4,Que Calor ! (feat. Edi Pistolas),The Limiñanas / Laurent Garnier,liminanas-laurent-garnier,De Película,06:33,It’s very hot
5,Interstellar Overdrive,Camper Van Beethoven,camper-van-beethoven,Camper Van Beethoven,07:45,Originally from Pink Floyd
6,BREAK
7,May,Devendra Banhart,devendra-banhart,Flying Wig,04:40,Endless possibilities
8,My Aquarium,Drop Nineteens,drop-nineteens,Delaware,03:00,Unusual clarity of mood
9,Deep,Lionel Limiñana,lionel-liminana,The Ballad of Linda L. (OST),02:20,Going very undercover
10,BREAK
11,Foggy Heights Dub,Dexter Dub,dexter-dub,Soundsystem,05:00,Visibility zero
12,True Life (Nourished by Time Version),Water From Your Eyes,water-from-your-eyes,Crushed By Everyone,03:55,Decon-reconstructed
13,Nairobi Night Train,Black Bones,black-bones,I'm Ten Years Ahead Of My Time - Höga Nord Rekords Singles Collection Vol.5,04:26,Hurtling through the night
14,Black Steel (Abbey Road Remaster),Tricky,tricky,Maxinquaye (Reincarnated),05:40,Intense and dramatic
15,BREAK
16,The Lonely Doll,Cass McCombs,cass-mccombs,Wit's End,05:38,A careful mechanism
17,IHOP,Luna,luna,Pup Tent,05:44,Is there a doctor in the house?
18,Disillusion,Photon Band,photon-band,"Oh the Sweet, Sweet Changes",06:33,The queen of disillusion
19,BREAK
20,Peace Or Quiet,Explosions In The Sky,explosions-in-sky,End,06:27,You must choose
21,Game Over ( e 1 ),Actress,actress,LXXXVIII,03:15,Shifting sands
22,Polyester,Maximilian Hecker,maximilian-hecker,Polyester,03:30,Soaring to great heights
23,Contempt Prior to Investigation,danielfuzztone,danielfuzztone,Absolute Sound,07:20,Serious charges
24,BREAK
25,The Dice Man Will Become,The Serfs,serfs,Half Eaten By Dogs,04:07,Fetch me my oscillators
26,Section 48 (Shadows On The Hillside),The Polyphonic Spree,polyphonic-spree,Salvage Enterprise,05:57,Flashback symphonies
27,The Imam,Sun City Girls,sun-city-girls,Funeral Mariachi,04:07,Exotic spices
28,BREAK
29,I Robot,The Alan Parsons Project,alan-parsons-project,I Robot,06:02,The verge of electronic music
