sequence,song,artist,artist_slug,album,time,notes
1,Angel,Drop Nineteens,drop-nineteens,Delaware,5:22,Originally from Madonna
2,BREAK
3,Jimmy Mack,Animal Collective,animal-collective,The Painters [EP],4:07,Originally from Martha and the Vandellas
4,You Don't Love Me Yet,Bongwater,bongwater,,5:14,Originally from Roky Erikson
5,Merchandise,Sounds Of Swami,sounds-of-swami,Silence Is A Dangerous Sound: A Tribute To Fugazi,3:02,Originally from Fugazi
6,BREAK
7,Five Years,Steel Pulse,steel-pulse,Ziggy Stardub,3:51,Originally from David Bowie
8,The Harder They Come,Joe Jackson,joe-jackson,Steppin' Out: The Very Best Of Joe Jackson,3:54,Originally from Jimmy Cliff
9,Rehab,The Jolly Boys feat. Albert Minott,jolly-boys-feat-albert-minott,Great Expectation,4:07,Originally from Amy Winehouse
10,Pueblo Fantasma,Desorden Público,desorden-publico,Spare Shells: Tribute to The Specials,4:18,Originally from the Specials
11,BREAK
12,"She's Fine, She's Mine",Spoon,spoon,Memory Dust,3:13,Originally from Bo Diddley
13,Use Me,Holly Golightly,holly-golightly,God Don't Like It,3:01,Originally from Bill Withers
14,Listening to the Higsons,Sparklehorse,sparklehorse,Bird Machine,3:01,Originally from Robyn Hitchcock + the Egyptians
15,BREAK
16,Richie Dagger's Crime,The Posies,posies,Germs (Tribute): A Small Circle Of Friends,2:57,Originally from Germs
17,Blue Velvet,Messer Chups,messer-chups,Night Stripper,2:11,Originally from Tony Bennett
18,Orinoco Flow,Olivia Jean,olivia-jean,Raving Ghost,2:37,Originally from Enya
19,BREAK
20,Blues Magicians,The Bug Club,bug-club,Rare Birds: Hour of Song,3:26,You only sing along to Tubular Bells
21,The Devil Went Down To Silverlake,MC Honky,mc-honky,I Am the Messiah,3:28,Music fit for a Doof
22,Kick The Can,The Streets,streets,The Darker The Shadow The Brighter The Light,2:10,A brief interlude
23,Whatever Happens,Darksoft,darksoft,Grayscale,4:29,Distant chimes
24,BREAK
25,Old Death,car colors,car-colors,Old Death,7:11,New sounds
26,Higher Ground,Ellen McIlwaine,ellen-mcilwaine,The Real/Everybody Needs It,3:44,Bringing the nonstop
27,Suburban Office Park,The Mommyheads,mommyheads,Coney Island Kid,3:26,It’s a wasteland
28,Que Vida,Love,love,March Of The Flower Children ,3:40,An unexpected find
29,BREAK
30,Me & You & Jackie Mittoo,Superchunk,superchunk,"Misfits & Mistakes: Singles, B-sides & Strays 2007-2023",2:02,A power trio
31,Josh Has A Crush On A Femme From Reed,New Bad Things,new-bad-things,C-Sides,2:37,With a whistle break
32,A Blues Serenade,The Holy Modal Rounders,holy-modal-rounders,Too Much Fun!,2:23,Manic scatting
33,BREAK
34,One and the Same,Marnie Stern,marnie-stern,The Comeback Kid,2:20,Dense cacophonies
35,Half A Nice Day,The Octopus Project,octopus-project,Golden Beds EP,4:27,The commuter drone
36,Badder Than Bullets,Tommy Guerrero,tommy-guerrero,From the Soil to the Soul,3:11,Cruising for perps
37,Golden Apples,Country Teasers,country-teasers,Destroy All Human Life,3:26,The perfect image of mankind
38,BREAK
39,Dither,Atom™,atom,Die Seiner,4:56,It’s a pixelated sound
40,Steamworks,Presets,presets,Beams (Deluxe),4:36,Getting the vapors
41,Vanilla Skies,Looper,looper,A Luminous Place,2:48,Reworked and relaxed
42,Alyosha Lying,Clark,clark,Cave Dog,3:00,Messages from the hemispheres
43,BREAK
44,Hard Light,Drop Nineteens,drop-nineteens,Hard Light,3:06,Reflective measures
45,Rock and Roll,Black Pumas,black-pumas,Chronicles of a Diamond,4:53,A popular song title
46,ATOMIC WAVE DANCE,The Comet Is Coming,comet-is-coming,Hyper-Dimensional Expansion Beam,4:45,Avoid collisions
47,"Shoot to kill, kill your darlings",underscores,underscores,Wallsocket,5:04,Fragments on collision
48,BREAK
49,Salutation Gardens,Creation Rebel,creation-rebel,Hostile Environment,3:27,Breaking in the botanicals
50,Traffic in the Sky (Lee “Scratch” Perry Dub),"Jack Johnson & Lee ""Scratch"" Perry",jack-johnson-lee-scratch-perry,In Between Dub,2:55,An unusual combination
51,Punky Disco,Lionel Limiñana,lionel-liminana,The Ballad of Linda L. (OST),3:40,Glitterball in the desert
52,Roygbiv,Boards of Canada,boards-of-canada,Music Has The Right To Children,2:31,The full spectrum
53,BREAK
54,Them Changes,Ramsey Lewis,ramsey-lewis,Them Changes,6:33,Follow along
