sequence,song,artist,artist_slug,album,time,notes
1,Why Aren't You Smiling,The Mommyheads,mommyheads,Coney Island Kid,03:37,Mid century moderns
2,BREAK
3,Another good year for the roses,Kurt Vile,kurt-vile,Back to Moon Beach,05:35,Blooming time
4,Appalachian Death Sigh,Bill Fox,bill-fox,Shelter From The Smoke,03:21,A stranger through and through
5,February Punk,Superchunk,superchunk,"Misfits & Mistakes: Singles, B-sides & Strays 2007-2023",02:47,Just couldn’t wait
6,That's Something I Do,The Apples In Stereo,apples-in-stereo,Velocity of Sound,02:29,Your friends hate my guts
7,BREAK
8,Ruins,John P. Strohm,john-p-strohm,Something To Look Forward To,02:11,Feels like Harrison
9,In The Aeroplane Over The Sea,Neutral Milk Hotel,neutral-milk-hotel,In The Aeroplane Over The Sea,03:22,The sound of a million dorm rooms
10,Mambo Jambo,Dave Barbour,dave-barbour,Ultra-Lounge / Mambo Fever Volume Two,03:01,Hotten up the night
11,BREAK
12,Heatwave,Looper,looper,A Luminous Place,02:07,Singularly synthetic summer
13,Mama Loves Nortec,Nortec Collective,nortec-collective,Tijuana Sound Machine,03:19,Mama got it right
14,N.Y. '79,Laika & The Cosmonauts,laika-cosmonauts,Local Warming,03:42,Ready for the brownout
15,The Darker The Shadow The Brighter The Light,The Streets,streets,The Darker The Shadow The Brighter The Light,02:40,Old fashioned or new fangled
16,BREAK
17,Swim,Surfer Blood,surfer-blood,Swim,03:19,Oceanic reverberations
18,Mister Do You Have Time For Sittin?,The Bug Club,bug-club,Rare Birds: Hour of Song,03:32,Fancy a mosey
19,Serpent Head Crushed,Half-Handed Cloud,half-handed-cloud,Learning About Your Scale,01:38,Fragments aplenty
20,Fiesta,Ween,ween,La Cucaracha,02:14,Arriba!
21,BREAK
22,Süddeutsches Ton-Bild-Studio,Beirut,beirut,Hadsel,05:23,Another sad waltz
