sequence,song,artist,artist_slug,album,time,notes
1,Dilemma Us from Evil,Psychedelic Porn Crumpets,psychedelic-porn-crumpets,Fronzoli,03:03,Silver glitter rocket ride
2,BREAK
3,Leopard-Skin Pill-Box Hat,Cat Power,cat-power,Cat Power Sings Dylan: The 1966 Royal Albert Hall Concert,03:43,Originally from Bob Dylan
4,"She's Fine, She's Mine",Thee Headcoats,thee-headcoats,Knights Of The Baskervilles,03:20,Just strolling through
5,Busted,Andre Williams & The Sadies,andre-williams-sadies,Red Dirt,02:40,Nobody hits rock bottom as hard
6,Rachel,The Jon Spencer Blues Explosion,jon-spencer-blues-explosion,Jon Spencer Blues Explosion,02:26,Fire in the hole
7,BREAK
8,I want to go outside!!!!!,Pacing,pacing,Real Poetry...,02:11,Snap your fingers
9,I Wanna Do It,Earth Girl Helen Brown,earth-girl-helen-brown,Sonny Smith's 100 Records Volume 2: I Miss The Jams,02:36,Classic future retro
10,Richie Dagger's Crime,The Posies,posies,Germs (Tribute): A Small Circle Of Friends,02:57,Originally from Germs
11,The Harder They Come,Joe Jackson,joe-jackson,Classic Joe Jackson,03:54,Originally from Jimmy Cliff
12,BREAK
13,que suprise,bar italia,bar-italia,The Twits,03:13,Disorganized thinking
14,Hi-Ace,Low Frequency In Stereo,low-frequency-in-stereo,Travelling Ants Who Got Eaten by Moskus,02:03,Drag race preparatory
15,Cheap Chrome,The Serfs,serfs,Half Eaten By Dogs,03:38,Shiny shiny
16,Sail On,Medicine,medicine,Silences,03:51,Steady breezes
17,BREAK
18,Rape Me (2023 Remaster),Nirvana,nirvana,In Utero (30th Anniversary Super Deluxe),02:50,No punches pulled
19,Meyrin Fields,Broken Bells,broken-bells,The Ghost Inside,02:48,A mood for disaster
20,Wild Cats of Kilkenny,The Pogues,pogues,Rum Sodomy & The Lash (Expanded Edition),02:49,Ride away!
21,Ozone Scraper,DJ Shadow,dj-shadow,Action Adventure,03:31,Smell the neon
22,BREAK
23,Llama,Phish,phish,,03:32,Tightly wrapped
