sequence,song,artist,artist_slug,album,time,notes
1,The Wind Cries Mary,The Bobs,bobs,...Songs At Any Speed,4:19,Originally from Jimi Hendrix
2,BREAK
3,Right Back To It (feat. MJ Lenderman),Waxahatchee,waxahatchee,Tigers Blood,4:33,Shake some dust
4,Antifreeze,Asylum Street Spankers,asylum-street-spankers,My Favorite Record,3:12,Chock full of inside jokes
5,Set Me Free,The Kinks,kinks,Kinda Kinks (Super Deluxe Edition),2:14,For the Mic Man
6,No Big Thing,Holly Golightly,holly-golightly,Singles Round-Up,2:38,Uncharacteristically lackadaisical
7,BREAK
8,Elements of Matter,Trees Speak,trees-speak,PostHuman,2:30,Hypnotic sizzle
9,Total Football,Parquet Courts,parquet-courts,Wide Awake!,4:01,Going out to the fans
10,Hanky Panky,Rita Chaos & The Quests,rita-chaos-quests,Wig Out! Freak Out!,3:02,That is what I am talking about
11,BREAK
12,Have you tried meditation?,Pacing,pacing,Real Poetry...,2:54,It could work
13,Nobody Knows You,OFFICE,office,Mecca,4:11,Ungoogleable!
14,Moleslica,The Moore Brothers,moore-brothers,Colossal Small,3:06,A majestic soar and something else
15,BREAK
16,Be With You Again,The Cat Empire,cat-empire,Where the Angels Fall,4:34,Hit us with that Aussie samba
17,The Flute Tune,Push,push,Retrospective (1987-2004),3:28,Delivering on the title
18,Hot Blood,Verbena,verbena,Souls for Sale,3:45,Hotter than Foreigner
19,Fools Gold,Stone Roses,stone-roses,The Stone Roses (20th Anniversary Collector's Edition),4:19,Commence the bidding war
20,BREAK
21,Dance With Me,Joanna Sternberg,joanna-sternberg,Moping In Style: A Tribute to Adam Green,2:58,A perfect match
22,New York Berlin,The Slackers,slackers,For Family And Flag Volume 2,3:16,Member when
23,Batucada,Walter Wanderley,walter-wanderley,Batucada,2:09,Propulsive tropical
24,Soda Pop,G. Love & Special Sauce,g-love-special-sauce,Coast To Coast Motel,3:50,Stumbling about
25,BREAK
26,Cheap Linen,The Bug Club,bug-club,Rare Birds: Hour of Song,2:42,Time to change them
27,Breaker Breaker,Peter Bjorn and John,peter-bjorn-john,Gimme Some,1:39,Over before you know it
28,Small Supernova,Metal Molly,metal-molly,Surgery for Zebra,4:57,Take that Oasis
29,Second Song,TV on the Radio,tv-on-radio,Nine Types of Light (Deluxe),4:21,Insistent expressions
30,BREAK
31,Why Do We Dance,Autogramm,autogramm,Music That Humans Can Play,4:13,New traditionalism
32,Get Up and Fight,Lionel Limiñana,lionel-liminana,The Ballad of Linda L. (OST),2:31,Don’t just lay there
33,Dumb (2023 Remaster),Nirvana,nirvana,In Utero (30th Anniversary Super Deluxe),2:31,Saying something
34,Psychobilly Freakout,Reverend Horton Heat,reverend-horton-heat,Smoke 'em if You Got 'em,2:39,The original
35,BREAK
36,High Seas (Won + Lost),Wreckless Eric,wreckless-eric,Leisureland,3:39,Keep your eyes on the horizon
37,Roses Are Free,Ween,ween,Chocolate & Cheese,4:35,So romantic
38,Crooked in the Weird of the Catacombs,Oranger,oranger,New Comes and Goes,4:06,Twisting in the mist
39,Inquiry Perpetrated,Thee Oh Sees,thee-oh-sees,Singles Vol. 1 + 2,2:41,Looking for clues
40,BREAK
41,Miami Baby,Dope Lemon,dope-lemon,Kimosabè,4:53,Lounging about
42,Painting In The River,Thick Paint,thick-paint,TP TWO,4:54,Floating in the water
43,For So Long,Wooden Shjips,wooden-shjips,Dos,4:42,Watching the lights flash by
44,BREAK
45,Faraway Near,Looper,looper,A Luminous Place,2:40,Meditative meanderings
46,Looking Glass,Delicate Steve,delicate-steve,After Hours,2:34,Careful pickings
47,Athlete Cured,The Fall,fall,The Frenz Experiment,5:52,Tonight we’re going to rock you
48,BREAK
49,Digging Deeper (Extended Mix),Alison Goldfrapp,alison-goldfrapp,The Love Reinvention,6:09,Very deeper
50,Sirius,The Alan Parsons Project,alan-parsons-project,Eye In The Sky (Mfsl),1:48,Fire up the engines
51,The Rockafeller Skank,Fatboy Slim,fatboy-slim,The Rockafeller Skank EP,6:54,Checkin’ out now
52,Frontier Psychiatrist,The Avalanches,avalanches,Since I Left You,4:48,That boy needs therapy
53,BREAK
54,Around Da Phire Too,The Z Kamp Express,z-kamp-express,Wheruhjuanuhgo,7:20,How apropos
