sequence,song,artist,artist_slug,album,time,notes
1,Go!,Brainiac,brainiac,From Dayton Ohio,03:20,Originally from Tones on Tail
2,BREAK
3,Divine Hammer,Ben Lee,ben-lee,Quarter Century Classix,04:26,Originally from the Breeders
4,Bloody Rainbow,Built To Spill,built-to-spill,Built to Spill Plays the Songs of Daniel Johnston,02:24,Originally from Daniel Johnston
5,Fire In Cairo,Luna,luna,Why Can't I Be You?,03:28,Originally from the Cure
6,BREAK
7,Goo Goo Muck,Das Clamps,das-clamps,Shit Music For Shit People,03:11,Originally from the Cramps
8,Sophisticated Boom Boom,Knoxville Girls,knoxville-girls,In A Ripped Dress,02:17,Originally from the Shangri-Las
9,Wicked Game,Messer Chups,messer-chups,Don't Say Cheese,03:50,Originally from Chris Isaak
10,Jack The Ripper,Zach Uncles,zach-uncles,"Guitar Rebel, A Tribute to Link Wray",03:48,Originally from Link Wray
11,BREAK
12,Telstar,The Vaccines,vaccines,"Cosy Karaoke, Vol. 1",03:16,Originally from the Tornados
13,Kenni and the Jets,The Fearless Flyers,fearless-flyers,Tailwinds,04:09,Originally from Elton John
14,Heroes and Villains,Joey Joesph,joey-joesph,Smile,05:54,Originally from the Beach Boys
15,Just Dropped In (To See What Condition My Condition Was In),Sharon Jones + The Dap-Kings,sharon-jones-dap-kings,Just Dropped In (To See What Condition My Rendition Was In),03:01,Originally from the First Edition
16,BREAK
17,Perfect,Petty Booka,petty-booka,,04:21,Originally from Fairground Attraction
18,Dreamweaver,Valis,valis,,04:28,Originally from Gary Wright
19,Wild Honey Pie,The Squirrels,squirrels,,00:55,Originally from the Beatles
20,BREAK
21,Mission Impossible,Laika + The Cosmonauts,laika-cosmonauts,Laika Sex Machine,02:09,Originally from Lalo Schifrin
