sequence,song,artist,artist_slug,album,time,notes
1,Kick The Can,The Streets,streets,The Darker The Shadow The Brighter The Light,02:10,A brief interlude
2,BREAK
3,Blues Magicians,The Bug Club,bug-club,Rare Birds: Hour of Song,03:26,You only sing along to Tubular Bells
4,Jessica WJ,Cayucas,cayucas,Real Life,03:18,Quite catchy
5,The Devil Went Down To Silverlake,MC Honky,mc-honky,I Am The Messiah,03:28,Music fit for a Doof
6,Whatever Happens,Darksoft,darksoft,Grayscale,04:29,Distant chimes
7,BREAK
8,Old Death,car colors,car-colors,Old Death,07:11,New sounds
9,Higher Ground,Ellen McIlwaine,ellen-mcilwaine,The Real/Everybody Needs It,03:44,Bringing the nonstop
10,Suburban Office Park,The Mommyheads,mommyheads,Coney Island Kid,03:26,It’s a wasteland
11,Que Vida,Love,love,March Of The Flower Children ,03:40,An unexpected find
12,BREAK
13,Me & You & Jackie Mittoo,Superchunk,superchunk,"Misfits & Mistakes: Singles, B-sides & Strays 2007-2023",02:02,A power trio
14,Josh Has A Crush On A Femme From Reed,New Bad Things,new-bad-things,C-Sides,02:37,With a whistle break
15,A Blues Serenade,The Holy Modal Rounders,holy-modal-rounders,Too Much Fun!,02:23,Manic scatting
16,BREAK
17,One and the Same,Marnie Stern,marnie-stern,The Comeback Kid,02:20,Dense cacophonies
18,Half A Nice Day,The Octopus Project,octopus-project,Golden Beds EP,04:27,The commuter drone
19,Badder Than Bullets,Tommy Guerrero,tommy-guerrero,From the Soil to the Soul,03:11,Cruising for perps
20,BREAK
21,Red Flagz,The Veldt,veldt,Entropy Is the Mainline to God,03:31,Grinding at its finest
