sequence,song,artist,artist_slug,album,time,notes
1,Hey! Music!,Atom™,atom,Die Seiner,06:42,Indeed
2,BREAK
3,Internacional,Brazilian Girls,brazilian-girls,New York City,06:22,Bring the batucada
4,Hot Stenographer,Kinski,kinski,Alpine Static,05:27,Silence in the courtroom
5,Panty Shots,Country Teasers,country-teasers,Satan Is Real Again,04:33,Line ‘em up!
6,BREAK
7,PYRAMIDS,The Comet Is Coming,comet-is-coming,Hyper-Dimensional Expansion Beam,04:50,Observe the skies
8,Section 48 (Shadows On The Hillside),The Polyphonic Spree,polyphonic-spree,Salvage Enterprise,05:57,Progressive meddling
9,Them Changes,Ramsey Lewis,ramsey-lewis,Them Changes,06:33,Follow along
10,BREAK
11,Salutation Gardens,Creation Rebel,creation-rebel,Hostile Environment,03:27,Breaking in the botanicals
12,Traffic in the Sky (Lee “Scratch” Perry Dub),"Jack Johnson & Lee ""Scratch"" Perry",jack-johnson-lee-scratch-perry,In Between Dub,02:55,An unusual combination
13,Punky Disco,Lionel Limiñana,lionel-liminana,The Ballad of Linda L. (OST),03:40,Glitterball in the desert
14,Roygbiv,Boards of Canada,boards-of-canada,Music Has The Right To Children,02:31,The full spectrum
15,BREAK
16,OK Seke Bien (feat. Sekelembele),Fulu Miziki,fulu-miziki,Ngbaka,05:52,Ritual digital
17,Riviera Beat,Montefiori Cocktail,montefiori-cocktail,Il caffè italiano: Bologna (Italian Lounge Espresso Music),05:02,Swim up to the bar
18,Last Chance To Dance,"Medeski, Martin + Wood",medeski-martin-wood,Friday Afternoon In The Universe,07:40,Everyone take a turn
19,BREAK
20,Dither,Atom™,atom,Die Seiner,04:56,It’s a pixelated sound
21,Steamworks,Presets,presets,Beams (Deluxe),04:36,Getting the vapors
22,Vanilla Skies,Looper,looper,A Luminous Place,02:48,Reworked and relaxed
23,Alyosha Lying,Clark,clark,Cave Dog,03:00,Messages from the hemispheres
24,BREAK
25,Hard Light,Drop Nineteens,drop-nineteens,Hard Light,03:06,Reflective measures
26,Rock and Roll,Black Pumas,black-pumas,Chronicles of a Diamond,04:53,A popular song title
27,ATOMIC WAVE DANCE,The Comet Is Coming,comet-is-coming,Hyper-Dimensional Expansion Beam,04:45,Avoid collisions
28,"Shoot to kill, kill your darlings",underscores,underscores,Wallsocket,05:04,Fragments on collision
29,BREAK
30,35 Towards Clapham Junction,Jah Wobble,jah-wobble,The Bus Routes of South London,08:40,The long haul
