sequence,song,artist,artist_slug,album,time,notes
1,Have you tried meditation?,Pacing,pacing,Real Poetry...,02:54,It could work
2,BREAK
3,Right Back To It (feat. MJ Lenderman),Waxahatchee,waxahatchee,Tigers Blood,04:33,Shake some dust
4,Antifreeze,Asylum Street Spankers,asylum-street-spankers,My Favorite Record,03:12,Chock full of inside jokes
5,Set Me Free,The Kinks,kinks,Kinda Kinks (Super Deluxe Edition),02:14,For the Mic Man
6,No Big Thing,Holly Golightly,holly-golightly,Singles Round-Up,02:38,Uncharacteristically lackadaisical
7,BREAK
8,Elements of Matter,Trees Speak,trees-speak,PostHuman,02:30,Hypnotic sizzle
9,Total Football,Parquet Courts,parquet-courts,Wide Awake!,04:01,Going out to the fans
10,Hanky Panky,Rita Chaos & The Quests,rita-chaos-quests,Wig Out! Freak Out!,03:02,That is what I am talking about
11,BREAK
12,Nobody Knows You,OFFICE,office,Mecca,04:11,Ungoogleable!
13,Moleslica,The Moore Brothers,moore-brothers,Colossal Small,03:06,A majestic soar and something else
14,Fools Gold,Stone Roses,stone-roses,The Stone Roses (20th Anniversary Collector's Edition),04:19,Commence the bidding war
15,BREAK
16,Be With You Again,The Cat Empire,cat-empire,Where the Angels Fall,04:34,Hit us with that Aussie samba
17,The Flute Tune,Push,push,Retrospective (1987-2004),03:28,Delivering on the title
18,Hot Blood,Verbena,verbena,Souls for Sale,03:45,Hotter than Foreigner
19,BREAK
20,The Wind Cries Mary,The Bobs,bobs,...Songs At Any Speed,04:19,Originally from Jimi Hendrix
