sequence,song,artist,artist_slug,album,time,notes
1,Dance With Me,Joanna Sternberg,joanna-sternberg,Moping In Style: A Tribute to Adam Green,02:58,A perfect match
2,BREAK
3,New York Berlin,The Slackers,slackers,For Family And Flag Volume 2,03:16,Member when
4,Batucada,Walter Wanderley,walter-wanderley,Batucada,02:09,Propulsive tropicalia
5,Soda Pop,G. Love & Special Sauce,g-love-special-sauce,Coast To Coast Motel,03:50,Stumbling about
6,BREAK
7,Cheap Linen,The Bug Club,bug-club,Rare Birds: Hour of Song,02:42,Time to change them
8,Breaker Breaker,Peter Bjorn and John,peter-bjorn-john,Gimme Some,01:39,Over before you know it
9,Small Supernova,Metal Molly,metal-molly,Surgery for Zebra,04:57,Take that Oasis
10,Second Song,TV on the Radio,tv-on-radio,Nine Types of Light (Deluxe),04:21,Insistent expressions
11,BREAK
12,Why Do We Dance,Autogramm,autogramm,Music That Humans Can Play,04:13,New traditionalism
13,Get Up and Fight,Lionel Limiñana,lionel-liminana,The Ballad of Linda L. (OST),02:31,Don’t just lay there
14,Dumb (2023 Remaster),Nirvana,nirvana,In Utero (30th Anniversary Super Deluxe),02:31,Saying something
15,Psychobilly Freakout,Reverend Horton Heat,reverend-horton-heat,Smoke 'em if You Got 'em,02:39,The original
16,BREAK
17,High Seas (Won + Lost),Wreckless Eric,wreckless-eric,Leisureland,03:39,Keep your eyes on the horizon
18,Roses Are Free,Ween,ween,Chocolate & Cheese,04:35,So romantic
19,Crooked in the Weird of the Catacombs,Oranger,oranger,New Comes and Goes,04:06,Twisting in the mist
20,Inquiry Perpetrated,Thee Oh Sees,thee-oh-sees,Singles Vol. 1 + 2,02:41,Looking for clues
21,BREAK
22,Dead End Road,Sonny Smith,sonny-smith,"",02:02,Back in your town
