sequence,song,artist,artist_slug,album,time,notes
1,Zaddy Mountain,Thick Paint,thick-paint,TP TWO,03:32,Sound tectonics
2,BREAK
3,Gangsta,Tune-Yards,tune-yards,W H O K I L L,03:59,Erraticism in the schism
4,Que Bueno Baila,Grupo Vocal Sampling,grupo-vocal-sampling,Una Forma Más,03:42,Cuban chorus
5,La Vecina,Los Amigos Invisibles,los-amigos-invisibles,Arepa 3000,04:19,Feeling neighborly
6,Spend the Day,Sloan,sloan,Steady,02:31,The entire time
7,BREAK
8,Novocaine For The Soul (Moog Cookbook Remix),Eels,eels,"Useless Trinkets - B-Sides, Soundtracks, Rarities and Unreleased, 1996-2006",03:10,Numbing pleasure
9,Up Side,? & The Mysterians,mysterians,Wig Out! Freak Out!,02:52,That organ
10,Spider Cider,Thee Oh Sees,thee-oh-sees,Castlemania,00:59,Arachnorefreshments
11,I Saw It Coming,Chalk,chalk,Black Box Broken,02:09,That whooshing sound
12,BREAK
13,Dial Painters (Radium Girls),Wreckless Eric,wreckless-eric,Leisureland,02:43,It’s a hot topic
14,Rock & Roll Pest Control,The Presidents of The United States of America,presidents-of-united-states-of-america,This One's for the Fellows,02:32,Originally from the Young Fresh Fellows
15,Flesh Number One (Beatle Dennis),Robyn Hitchcock,robyn-hitchcock,Globe of Frogs,02:39,With Glenn Tilbrook
16,Some Kid's Spectacles,Congratulations Fruit,congratulations-fruit,The Brain Thief,03:18,A schoolyard altercation
17,BREAK
18,Did Me Good,The Elected,elected,"Sun, Sun, Sun",04:10,Listing the benefits
19,Lonely You,The Subjects,subjects,With the Ease Grace Precision and Cleverness of Human Beings,03:02,At breakneck pace
20,Bam B-B-Bam Bam Bam,Junior Varsity,junior-varsity,Bam Bam Bam!,01:45,Dancing bear time
21,You Changed My Life,The Thermals,thermals,Personal Life,03:26,Altered timelines
22,BREAK
23,Strawberry Fields Forever,ALA.NI,ala-ni,Rub-A-Dub Soul,03:38,Originally from the Beatles
