sequence,song,artist,artist_slug,album,time,notes
1,Big Air,Office Dog,office-dog,Spiel,03:26,Big beat
2,BREAK
3,Corvette Summer,Green Day,green-day,Saviors,03:02,The new old stuff
4,Nero (Worst Dressed),The Washdown,washdown,The Washdown,01:42,Unrelenting
5,Bang Bang You're Dead,Dirty Pretty Things,dirty-pretty-things,Waterloo To Anywhere,03:33,A violent ending
6,Jeepster,Sex Clark Five,sex-clark-five,"",02:20,Originally from T. Rex
7,BREAK
8,Samuel Was Beautiful Tonight,The Bug Club,bug-club,Rare Birds: Hour of Song,02:02,Overwhelmingly so
9,Always Something,Cage The Elephant,cage-elephant,Thank You Happy Birthday,03:42,Unsettled mood
10,Math And Science,Bess Rogers,bess-rogers,"",03:52,Tough topics
11,Five Miles,Curse of Lono,curse-of-lono,Severed,04:24,Long road
12,BREAK
13,The Fringe,Cheekface,cheekface,It's Sorted,02:37,Getting crowded
14,Dirty Robot,Arling + Cameron,arling-cameron,We Are A&C,04:02,Bring forth the washing machine
15,Shame & Scandal,Madness,madness,The Dangermen Sessions,02:53,Family drama
16,Emily,Jonathan Rado,jonathan-rado,Moping In Style: A Tribute to Adam Green,02:49,Originally from Adam Green
17,BREAK
18,89 Days,Packs,packs,Melt the Honey,02:42,Unsteady but level
19,Dreamer,First Boy On The Moon,first-boy-on-moon,Cybergirl,04:17,Coming out of a deep sleep
20,One More Time,Mike Pinto,mike-pinto,Everything I Got,05:03,Repetition is key
21,BREAK
22,Paperweight Machine,Fluid Ounces,fluid-ounces,The Whole Shebang,02:10,Elfmanesque
