sequence,song,artist,artist_slug,album,time,notes
1,Top Brass,Matt Berry,matt-berry,Simplicity,03:44,Many facets
2,BREAK
3,Miami Baby,Dope Lemon,dope-lemon,Kimosabè,04:53,Lounging about
4,Painting In The River,Thick Paint,thick-paint,TP TWO,04:54,Floating in the water
5,For So Long,Wooden Shjips,wooden-shjips,Dos,04:42,Watching the lights flash by
6,Where Is My Mind,Raz Ohara,raz-ohara,Realtime Voyeur,03:12,Tropical pixies
7,BREAK
8,Faraway Near,Looper,looper,A Luminous Place,02:40,Meditative meanderings
9,Looking Glass,Delicate Steve,delicate-steve,After Hours,02:34,Careful pickings
10,Athlete Cured,The Fall,fall,The Frenz Experiment,05:52,Tonight we’re going to rock you
11,Keep Up The Good Work,Lowly,lowly,Keep Up The Good Work,05:41,Positive reinforcement
12,BREAK
13,Digging Deeper (Extended Mix),Alison Goldfrapp,alison-goldfrapp,The Love Reinvention,06:09,Very deeper
14,Feast of the Heart,Jesca Hoop,jesca-hoop,Hunting My Dress,03:26,Aggregating the emotions
15,The Rockafeller Skank,Fatboy Slim,fatboy-slim,The Rockafeller Skank EP,06:54,Checkin’ out now
16,Frontier Psychiatrist,The Avalanches,avalanches,Since I Left You,04:48,That boy needs therapy
17,BREAK
18,Literary Mind,Sprints,sprints,Letter to Self,04:32,No slowing down
19,Broke Down Casino (feat. Sloan Peterson),Dope Lemon,dope-lemon,Kimosabè,03:20,Having a fun time
20,Thou Shalt Always Kill,Dan Le Sac vs. Scroobius Pip,dan-le-sac-vs-scroobius-pip,Thou Shalt Always Kill,05:17,Solid advice
21,BREAK
22,Caicos Dawn,The Bamboos,bamboos,This Is How You Do It,05:27,Do not compromise the mission
23,New Chaos,Fila Brazillia,fila-brazillia,Beatless,02:08,"The waves approach, the waves recede"
24,Doot Doot,The Fauns ,fauns,How Lost,05:15,Someone’s at the door
25,ZEITGEIST BOTANICA,"Jean-Michel Jarre, Irène Drésel",jean-michel-jarre-irene-dresel,OXYMOREWORKS,05:49,Updated distillation
26,BREAK
27,Back 2.0,Radium,radium,OK Boomer,04:09,Back!
28,Yobo Yobo Armel,Les Mamans du Congo,les-mamans-du-congo,Ya Mizolé,01:59,Drifting slowly
29,Sirius,The Alan Parsons Project,alan-parsons-project,Eye In The Sky (Mfsl),01:48,Fire up the engines
30,Real MC’s,Isotope 217,isotope-217,Utonian Automatic,07:18,Subtle phasing
31,BREAK
32,Around Da Phire Too,The Z Kamp Express,z-kamp-express,Wheruhjuanuhgo,07:20,How apropos
