sequence,song,artist,artist_slug,album,time,notes
1,Loser,Tom Maroon,tom-maroon,Flannel Dreams ,4:06,Originally from Beck
2,BREAK
3,Monolith,IDLES,idles,TANGK,2:53,Towering but not featureless
4,Indictment,Howler,howler,World Of Joy,3:25,Chaos unfurls
5,New Day I Hate,Young Fresh Fellows,young-fresh-fellows,I Think This Is,2:01,Both smooth and chunky
6,Dead Memory Man,Still Flyin,still-flyin,Never Gonna Touch the Ground,2:54,Bring me afrodisco
7,BREAK
8,Floating On A Moment,Beth Gibbons,beth-gibbons,Floating On A Moment,5:26,Extended riffing
9,"Passionflower, Paperbacks And Woodlice",The Bug Club,bug-club,Rare Birds: Hour of Song,1:45,"Dusty, enticing"
10,Lowly Worm,Bath Salt Zombies,bath-salt-zombies,Hairy Women & Farm Animals EP,1:59,Fine fine fellows
11,"Mahna, Mahna",Cake,cake,B-Sides and Rarities,2:54,Quite naturally
12,BREAK
13,I Got Heaven,Mannequin Pussy,mannequin-pussy,I Got Heaven,2:59,And lots of it
14,Last Call (Go Home),The Orwells,orwells,Terrible Human Beings,3:26,Staying late
15,When Lucy's Down,Kingmaker,kingmaker,Eat Yourself Whole,4:38,Too-obscure britpop
16,Lunar Eclipse,The Vaccines,vaccines,Pick-Up Full Of Pink Carnations,2:57,Ecliptic chiming
17,BREAK
18,Daughter Of The Jungle,Flat Duo Jets,flat-duo-jets,White Trees,2:38,"Miss you already, Dex"
19,We Used To Be Friends,The Dandy Warhols,dandy-warhols,Welcome To The Monkey House,3:20,Gotta check out DIG!
20,Pineapple Girl,Mister Heavenly,mister-heavenly,Mister Heavenly b/w Pineapple Girl,2:18,Exotic flavors
21,Insha’Allah,Corb Lund,corb-lund,El Viejo,3:42,Bring us peace
22,BREAK
23,Can't Believe We're Here,J Mascis,j-mascis,What Do We Do Now,3:58,It’s been a long road
24,There She Goes Again,Marshall Crenshaw,marshall-crenshaw,Marshall Crenshaw (40th Anniversary Expanded Edition),2:37,Never gets old
25,Plastic Punx,Autogramm,autogramm,Music That Humans Can Play,1:41,The oldest of schools
26,Showtime,Bob Log III,bob-log-iii,Trike,3:03,Quite the racket
27,Exacto,Omni,omni,Souvenir,2:39,Sharp sharp stuff
28,BREAK
29,Blu Wav,Grandaddy,grandaddy,Blu Wav,1:05,All too brief
30,The Boss Bass Flute of Ian-Whithurst-McKenneth,Shibboleth,shibboleth,Experiment In Error,3:22,It’s tremendous
31,Poodleman,Optiganally Yours,optiganally-yours,Exclusively Talentmaker!,2:22,Quite scary
32,Daddy's Little World,Atomic 7,atomic-7,"",1:51,It’s actually a big place
33,BREAK
34,Buffalo,Hurray For The Riff Raff,hurray-for-riff-raff,The Past Is Still Alive,3:43,Don’t mess with bison
35,Folks,Thao + Mirah,thao-mirah,Thao + Mirah,2:54,Three times around the room
36,Inside Out,Mall Girl,mall-girl,Pure Love,3:25,Shooting those confetti cannons
37,Table,Katy Kirby,katy-kirby,Blue Raspberry,2:01,Laying it all out
38,BREAK
39,Take Care,Packs,packs,Melt the Honey,3:27,An irresistible drawl
40,This Must Be The Place (Naive Melody),Talking Heads,talking-heads,Speaking In Tounges,4:57,The subtlest of grooves
41,"In The Basement, Part One",Etta James & Sugar Pie DeSanto,etta-james-sugar-pie-desanto,"",1:53,Hot and heavy
42,Siento,Dusminguet,dusminguet,Vafalungo,4:33,Traditional feelings
43,The Minute,Push Kings,push-kings,"",3:34,It’s over
44,BREAK
45,Golden Shanghai,Club Makumba,club-makumba,Sulitânia Beat,4:40,The sun sets on the bay
46,Who + What,Laetitia Sadier,laetitia-sadier,Rooting For Love,3:58,Orchestral whisperings
47,Finding The Holes Filling The Gaps,Eric Bachmann,eric-bachmann,Short Careers - Ball of Wax,4:27,Taking its time
48,DEVO Corporate Anthem,The Coctails,coctails,Popcorn Box,1:53,Originally from Devo
49,BREAK
50,Top Brass Two,Matt Berry,matt-berry,Simplicity,3:07,Starting out the evening
51,Grasshopper,The Maxwell Implosion,maxwell-implosion,Small Circle of Friends,4:12,More telephone and rubber band
52,I Gotta Rokk,DJ Shadow,dj-shadow,I Gotta Rokk,6:29,Stomping on the breaks
53,BREAK
54,Where To?,Ghost Funk Orchestra,ghost-funk-orchestra,A Trip To The Moon,2:41,Pick a destination
55,Beatrice The Coyote,Laddio Bolocko,laddio-bolocko,In Real Time,6:14,Howl with me
56,Arms That Never Knew How to Hold,LC Flowers,lc-flowers,May Kindness Be the Lens Through Which You View the Contents of Life,2:38,So very wistful
57,Knives,Cowboy Junkies,cowboy-junkies,Such Ferocious Beauty,4:29,From very far away
58,BREAK
59,Set The Control To Mother Earth,Deadpeach,deadpeach,The Cosmic Haze And The Human Race,7:58,"Not the sun, mind you"
