sequence,song,artist,artist_slug,album,time,notes
1,How Do You Work This Thing?,Robyn Hitchcock,robyn-hitchcock,Gravy Deco: The Complete Groovy Decay/Decoy Sessions,02:29,Questions from the audience?
2,BREAK
3,Bone Machine,Pixies,pixies,"",03:03,Kicking off tonight's Machine Shop!
4,Breakfast Machine,The Scofflaws,scofflaws,"",02:00,"Nothing right now, Mr. Herman"
5,Emotion Machine,Jason Falkner,jason-falkner,All Quiet On the Noise Floor,03:12,Ex-Jellyfish and so much more
6,BREAK
7,The Dream Machine,Sukia,sukia,"",04:33,La maquina de los sueños
8,Strict Machine,Goldfrapp,goldfrapp,Black Cherry,03:51,Originally by Suzi Quatro
9,Samba Machine,Kassin+2,kassin-2,Futurismo,03:20,A subtle samba
10,BREAK
11,Relentless Machines,Thomas Function,thomas-function,Celebration!,04:21,Truly relentless
12,Blood Machine,Chad VanGaalen,chad-vangaalen,Infiniheart,04:25,It’s grim and haunting
13,Tijuana Sound Machine,Nortec Collective,nortec-collective,Tijuana Sound Machine (Nortec Collective Presents Bostich & Fussible),03:03,Sin limites
14,Tape Machine,STRFKR,strfkr,"Being No One, Going Nowhere",03:14,For the Gainesville listeners
15,BREAK
16,Surf Machine,Spot 1019,spot-1019,Spot 1019,04:16,Close our eyes and watch Bob Newhart
17,Luv Machine,Blonde Redhead,blonde-redhead,In an Expression of the Inexpressible,03:39,Stark and hypnotic
18,Light Machine,Oranger,oranger,New Comes And Goes,02:36,Fuzzed out blizz
19,She's A Machine,The Smugglers,smugglers,Buddy Holly Convention - EP,01:30,Much better than the Elvis version
20,BREAK
21,When The Angels Play Their Drum Machines,Hefner,hefner,Dead Media,03:45,The only suitable closer
