sequence,song,artist,artist_slug,album,time,notes
1,Paige Machine,Packs,packs,Melt the Honey,02:40,Shedding angular velocity
2,BREAK
3,Goodbye,The Umbrellas,umbrellas,Fairweather Friend,03:55,Lovely twee factors
4,In My Head,The Snitches,snitches,Star Witness,02:17,Purely imaginary
5,She Won't Ever Calm Down,Pale Lights,pale-lights,Waverly Place,03:54,Shooting through the pipeline
6,Mmhm...,Monsieur LeRoc,monsieur-leroc,Oh La La!,04:21,Cruising altitude
7,BREAK
8,End Is Gettin Shaky,J Mascis,j-mascis,What Do We Do Now,04:48,A well-worn whine
9,Dirty Town,Mother Mother,mother-mother,Touch Up,02:30,Nobody likes it
10,I'm Not Your Stepping Stone,Paul Revere & The Raiders,paul-revere-raiders,Wig Out! Freak Out!,02:48,Signal for the mosh pit!
11,Cool Baby Slut,The Flamenco A Go Go,flamenco-a-go-go,Fully Fed Freaks,02:38,That’s the best way
12,BREAK
13,The Usual Thing,Marshall Crenshaw,marshall-crenshaw,Marshall Crenshaw (40th Anniversary Expanded Edition),03:03,Only the extraordinary
14,Photograph,Camper Van Beethoven,camper-van-beethoven,Camper Vantiquities,03:14,Originally from Ringo Starr (and George Harrison)
15,Goofy S**t,STRFKR,strfkr,"Vault, Vol. 1",01:05,Downright risible
16,Chem-oo-Chem,Brave Combo,brave-combo,Humansville,04:13,Arabic off-beats
17,BREAK
18,Take Stuff From Work,King Missile,king-missile,Mystical Shit / Fluting On the Hump,02:13,Stick it to the man
19,Penetration In The Centrefold,Devo,devo,Duty Now For The Future,02:29,At their most devolved
20,Learnin' To Love,Ween,ween,La Cucaracha,02:24,Hick of the litter
21,BREAK
22,Golden Apples,Country Teasers,country-teasers,Destroy All Human Life,03:26,The perfect image of mankind
