sequence,song,artist,artist_slug,album,time,notes
1,Decoy,Jenny Toomey,jenny-toomey,Tempted,3:47,Originally from Franklin Bruno
2,BREAK
3,Muriel’s Big Day Off,Being Dead,being-dead,When Horses Would Run,3:22,Spelling bee!
4,Velvet,Royel Otis,royel-otis,PRATTS & PAIN,2:12,The good kind of migraine
5,The Running Range,The Go! Team,go-team,Rolling Blackouts,3:45,Big orchestral assault
6,Practical Choke,Os Overdoses,os-overdoses,ALL KILLERS! NO FEELERS!,4:44,Missing a piston
7,BREAK
8,I Am Right On Time,Bleachers,bleachers,Bleachers,3:32,A long train voyage
9,Chick-A-Boom,Trespassers W,trespassers-w,"",4:06,That old refrain
10,Antique Heirlooms,The Bug Club,bug-club,Rare Birds: Hour of Song,1:28,Dust them off
11,BREAK
12,Old Familiar Drunken Feeling,Corb Lund,corb-lund,El Viejo,5:09,Hometown advantage
13,Someday Someway,Marshall Crenshaw,marshall-crenshaw,Marshall Crenshaw (40th Anniversary Expanded Edition),2:49,Completely captivating
14,Fireball,Charlie Chesterman and the Legendary Motorbikes,charlie-chesterman-legendary-motorbikes,Dynamite Music Machine,1:50,Hot hot stuff
15,Heart Of Gold,Leyla McCalla,leyla-mccalla,Vari-colored Songs: A Tribute To Langston Hughes,2:59,Unsettled
16,BREAK
17,I'm Sorry I Changed My Face,Mulberry Drive,mulberry-drive,Untitled Demos,3:22,Abandoned recognition
18,Central Park,Dopo Yume,dopo-yume,True Romance,4:01,The darkest of eye shadows
19,Hells Angels,Fort Lauderdale,fort-lauderdale,1001 Revolutions,2:00,With nefarious intentions
20,Follow The Itinerary,Still Flyin,still-flyin,Never Gonna Touch the Ground,3:27,Arrive at your destination
21,BREAK
22,Jungle,IDLES,idles,TANGK,4:11,Try and survive
23,Split Me Open,Mannequin Pussy,mannequin-pussy,I Got Heaven,4:01,Keeping it subtle
24,Faster Gun,The Wrens,wrens,Meadowlands,3:50,Blast it to pieces
25,BREAK
26,I'm A Man,Kim Gordon,kim-gordon,The Collective,4:32,Makes the point
27,(She's So) Impatient (With Me),Nine Iron,nine-iron,Wreck Room: Safe House Sampler Vol.3,2:49,Just chillax
28,Long In The Tooth,Modern English,modern-english,1 2 3 4,2:40,Still going at it
29,Interior,Real Estate,real-estate,Daniel,3:58,More driving at night
30,BREAK
31,Playing Favorites,Sheer Mag,sheer-mag,Playing Favorites,3:02,Roller skates and glitter
32,Always / Never,STRFKR,strfkr,Parallel Realms,3:41,Make it even more disco
33,Román Swing,Besh o drom,besh-o-drom,Best of droM,3:43,Balkan speedrun
34,I Used To Play The Euphonium,The Born Again Floozies,born-again-floozies,"Novelties, Addenda, and Ephemera",3:31,Your secret is safe
35,BREAK
36,Petroleum,Yard Act,yard-act,Where’s My Utopia?,3:40,Slacker drainage
37,Red Light Love,Those Darlins,those-darlins,Those Darlins,3:10,Don’t block the crosswalk
38,Flat Duo Jets Anthem,Flat Duo Jets,flat-duo-jets,Go Go Harlem Baby,2:39,Raise your arms
39,Film Co-Work Co.,Creedle,creedle,When The Wind Blows,4:59,Amy Carter served you breakfast
40,BREAK
41,Empathy,Lamplight,lamplight,Lamplight,6:41,Feeling the feelings
42,Walk in the Park,Beach House,beach-house,iTunes Session,5:10,Spread out
43,Down on the Ground,British Sea Power,british-sea-power,Lost Tracks And Rare Demos,4:51,Insistent washes of sound
44,BREAK
45,Don't You Ever Get the Creeps?,mega cat,mega-cat,mega cat,4:21,Dropping into a fresh groove
46,Right On (Feelin' Good),The Baldwin Brothers,baldwin-brothers,Return Of The Golden Rhodes,3:04,Get on it
47,MAD,Caravan Palace,caravan-palace,Gangbusters Melody Club,2:47,"Hit the skids, man"
48,BREAK
49,Aurum C,Fred und Luna,fred-und-luna,Im Fünfminutentakt,5:02,Enjoy the blinkenlights
50,Big John '99,Emperor Penguin,emperor-penguin,Extreme Gaming,4:37,He was quite rugged
51,Cloud 6,Laetitia Sadier,laetitia-sadier,Rooting For Love,5:21,A most exclusive cloud
52,The Truth the Dead Know,El Perro Del Mar,el-perro-del-mar,Big Anonymous,3:17,Very distant signals
53,BREAK
54,Move,Meatbodies,meatbodies,Flora Ocean Tiger Bloom,7:24,Circular motion is neverending
