sequence,song,artist,artist_slug,album,time,notes
1,Inzane,Mall Girl,mall-girl,Pure Love,05:42,"Slow buildup, slow release"
2,BREAK
3,Buzzkill,His Lordship,his-lordship,His Lordship,02:15,What a downer
4,Shake That Bush Again,The Mooney Suzuki,mooney-suzuki,Alive & Amplified,03:42,Desperate measures
5,61 Sideburns,The Capstan Shafts,capstan-shafts,Euridice Proudhon,01:10,The last genuine time
6,Reason To Believe,The Beat Farmers,beat-farmers,Tales Of The New West,02:36,Burning hot
7,BREAK
8,Tightropes,Office Dog,office-dog,Spiel,03:03,Keep your balance
9,Nothing,Insects Vs Robots,insects-vs-robots,TheyllKillYaa,03:53,A constant battle
10,Really Scrape The Sky,Kingmaker,kingmaker,Eat Yourself Whole,04:46,Golden-hued britpop
11,Four Sisters,The Bug Club,bug-club,Rare Birds: Hour of Song,02:19,It’s wrong to tell the truth
12,BREAK
13,Staring at the Sun,Simple Kid,simple-kid,1,04:03,Evergreen sounds
14,the way things go,beabadoobee,beabadoobee,the way things go [SINGLE],03:08,Coming right up
15,Breaking Locks,Jenny Lewis,jenny-lewis,Moping In Style: A Tribute to Adam Green,02:01,Sweet sweet misery
16,BREAK
17,How It Ends,DeVotchKa,devotchka,How It Ends,03:59,It’s how it started
18,Indie Rock Freestyle,Jason Lytle,jason-lytle,Music Meant to Accompany the Art of Ron Cameron,02:55,Not much was planned
19,Breakers,Gem Club,gem-club,Breakers,02:51,Gentle sparkles
20,Home,John P. Strohm,john-p-strohm,Vestavia,03:28,The full majesty
21,BREAK
22,Queen of Ears,Quasi,quasi,Breaking the Balls of History,03:06,The pounding of the clav
