sequence,song,artist,artist_slug,album,time,notes
1,I Got Heaven,Mannequin Pussy,mannequin-pussy,I Got Heaven,02:59,And lots of it
2,BREAK
3,Monolith,IDLES,idles,TANGK,02:53,Towering but not featureless
4,Indictment,Howler,howler,World Of Joy,03:25,Chaos unfurls
5,New Day I Hate,Young Fresh Fellows,young-fresh-fellows,I Think This Is,02:01,Both smooth and chunky
6,Dead Memory Man,Still Flyin,still-flyin,Never Gonna Touch the Ground,02:54,Bring me afrodisco
7,BREAK
8,Floating On A Moment,Beth Gibbons,beth-gibbons,Floating On A Moment,05:26,Extended riffing
9,"Passionflower, Paperbacks And Woodlice",The Bug Club,bug-club,Rare Birds: Hour of Song,01:45,"Dusty, enticing"
10,Lowly Worm,Bath Salt Zombies,bath-salt-zombies,Hairy Women & Farm Animals EP,01:59,Fine fine fellows
11,"Mahna, Mahna",Cake,cake,B-Sides and Rarities,02:54,Quite naturally
12,BREAK
13,Loser,Tom Maroon,tom-maroon,Flannel Dreams ,04:06,Originally from Beck
14,Last Call (Go Home),The Orwells,orwells,Terrible Human Beings,03:26,Staying late
15,When Lucy's Down,Kingmaker,kingmaker,Eat Yourself Whole,04:38,Too-obscure britpop
16,Lunar Eclipse,The Vaccines,vaccines,Pick-Up Full Of Pink Carnations,02:57,Ecliptic chiming
17,BREAK
18,Daughter Of The Jungle,Flat Duo Jets,flat-duo-jets,White Trees,02:38,"Miss you already, Dex"
19,We Used To Be Friends,The Dandy Warhols,dandy-warhols,Welcome To The Monkey House,03:20,Gotta check out DIG!
20,Pineapple Girl,Mister Heavenly,mister-heavenly,Mister Heavenly b/w Pineapple Girl,02:18,Exotic flavors
21,BREAK
22,Insha’Allah,Corb Lund,corb-lund,El Viejo,03:42,Bring us peace
