sequence,song,artist,artist_slug,album,time,notes
1,Eye Of Fatima Pt 1,Eyelids,eyelids,No Jigsaw,3:04,Originally from Camper Van Beethoven
2,BREAK
3,Chemical Animal,The Jesus and Mary Chain,jesus-mary-chain,Glasgow Eyes,4:34,Honing that edge
4,That Ain't Bad,Ben Lee,ben-lee,"",1:42,Originally from Ratcat
5,Treeland,Being Dead,being-dead,When Horses Would Run,3:36,Getting ready to move in
6,Fireproof,Clap Your Hands Say Yeah,clap-your-hands-say-yeah,The Tourist,4:01,Tripping through the icky ticky
7,BREAK
8,Modern Vanity,The Armed,armed,Perfect Saviors,3:49,Slowly devouring
9,Orange,The Jon Spencer Blues Explosion,jon-spencer-blues-explosion,Orange,2:59,Whoooo
10,Hall & Oates,IDLES,idles,TANGK,2:23,Dead-eyed soul
11,Sixty-Two Thousand Dollars in Debt,Pissed Jeans,pissed-jeans,Half Divorced,1:55,Things could be worse
12,BREAK
13,Softly,Mannequin Pussy,mannequin-pussy,I Got Heaven,3:27,What you need
14,Is This The Music You Like?,The Bug Club,bug-club,Rare Birds: Hour of Song,0:52,This is the music I like
15,Vince The Loveable Stoner,The Fratellis,fratellis,Costello Music,3:14,We all know a Vince
16,When I Can See The Valley,Leyla McCalla,leyla-mccalla,Vari-colored Songs: A Tribute To Langston Hughes,2:10,Singing the blue gospel
17,BREAK
18,Moonlight Highway,Rose City Band,rose-city-band,Garden Party,6:30,Folkadelica
19,Here Comes My Ship,Wreckless Eric & Amy Rigby,wreckless-eric-amy-rigby,Wreckless Eric & Amy Rigby,2:52,Married as hell
20,Mosquito,Mosquitos,mosquitos,Mosquitos,2:35,Buzz buzz
21,(You're My Favorite) Waste of Time (Original 4-Track Recording),Marshall Crenshaw,marshall-crenshaw,Marshall Crenshaw (40th Anniversary Expanded Edition),2:37,From an alternate universe
22,BREAK
23,Danzig With Myself,The Dandy Warhols,dandy-warhols,ROCKMAKER,3:56,Going heavy on the heavy
24,Nightshift,Eugene McGuinness,eugene-mcguinness,Eugene McGuinness,1:38,In a hurry
25,A Little Bit Of Rain,The Third Mind,third-mind,The Third Mind 2,5:09,About what you can expect
26,First Smile Ever,Cast,cast,Love Is The Call,4:35,Feeling grand
27,BREAK
28,I’ll Keep Singing,Gruff Rhys,gruff-rhys,Sadness Sets Me Free,2:27,Climbing out of it
29,Indivisible,Gibbous Moon,gibbous-moon,Saturn V,2:35,Distant fuzz
30,Angeline,Kid Kapichi,kid-kapichi,There Goes The Neighbourhood,3:24,Fun times if you can remember them
31,Freeze Brain,Real Estate,real-estate,Daniel,3:28,You have to go slowly
32,Teenage Sequencer,Pedro the Lion,pedro-lion,Havasu,4:17,16 steps
33,BREAK
34,I'm So Tired,Lala Lala,lala-lala,FADER & Friends: Volume 1,2:22,Like sleep never comes
35,Ugly Human Heart Pt. 2,Daniel Romano,daniel-romano,Modern Pressure,1:59,Feeling the Harrison
36,Ninja Please,Vells,vells,Integretron,2:43,In an overdriven dream haze
37,"Ruby, Don't Take Your Love to Town",Cake,cake,B-Sides and Rarities,2:56,Originally from Kenny Rogers and First Edition
38,BREAK
39,Mango Cool,Cheo,cheo,"",3:01,Originally from Los Amigos Invisibles
40,Here Comes My Baby,Tremelos,tremelos,The Very Best Of The Tremeloes,3:03,Originally from Cat Stevens
41,All Night,The Countdown Quartet,countdown-quartet,Party With!,3:39,Audio caffeine
42,All Rooms Cable A/C Free Coffee,The Extra Glenns,extra-glenns,Martial Arts Weekend,1:48,Stay for a while
43,BREAK
44,Silly Cybin,Meatbodies,meatbodies,Flora Ocean Tiger Bloom,3:37,So silly
45,Shelf Warmer,Kim Gordon,kim-gordon,The Collective,4:11,Sparse and lethal
46,Rat Fight,mega cat,mega-cat,mega cat,3:27,Give it in five
47,Circle Circle Circle,Occidental Brothers Dance Band International,occidental-brothers-dance-band-international,Odo Sanbra,4:17,Going around and around
48,BREAK
49,Subcision Scars,Applied Communications,applied-communications,Applied Communications Has a Midlife Crisis,2:53,Back in the snark
50,Call Your Mom,Lamplight,lamplight,Lamplight,5:00,Drawing it out
51,Loved,Four Tet,four-tet,Three,4:03,Charting a complex course
52,Avalanches,Caravan Palace,caravan-palace,Gangbusters Melody Club,4:10,Hustling on the sidechain
53,BREAK
54,Together Forever,STRFKR,strfkr,Parallel Realms,4:38,Glitterball 2000
55,Inner Voice,Cones,cones,Pictures of Pictures,4:25,Scratchy green whispers
56,Heaven,Levitation Room,levitation-room,Strange Weather,3:53,It’s full of paisleys
57,Simple Basics,Matt Berry,matt-berry,Simplicity,3:02,They never fail
58,BREAK
59,Reverse Cowgirl,People Like Us,people-like-us,"",6:08,A collaboration with Tipsy
