sequence,song,artist,artist_slug,album,time,notes
1,Buffalo,Hurray For The Riff Raff,hurray-for-riff-raff,The Past Is Still Alive,03:43,Don’t mess with bison
2,SIGN ON,"","","",00:54,""
3,Can't Believe We're Here,J Mascis,j-mascis,What Do We Do Now,03:58,It’s been a long road
4,There She Goes Again,Marshall Crenshaw,marshall-crenshaw,Marshall Crenshaw (40th Anniversary Expanded Edition),02:37,Never gets old
5,Plastic Punx,Autogramm,autogramm,Music That Humans Can Play,01:41,The oldest of schools
6,Showtime,Bob Log III,bob-log-iii,Trike,03:03,Quite the racket
7,Exacto,Omni,omni,Souvenir,02:39,Sharp sharp stuff
8,BREAK,"","","",00:57,""
9,Blu Wav,Grandaddy,grandaddy,Blu Wav,01:05,All too brief
10,The Boss Bass Flute of Ian-Whithurst-McKenneth,Shibboleth,shibboleth,Experiment In Error,03:22,It’s tremendous
11,Poodleman,Optiganally Yours,optiganally-yours,Exclusively Talentmaker!,02:22,Quite scary
12,Daddy's Little World,Atomic 7,atomic-7,"",01:51,It’s actually a big place
13,BREAK,"","","",01:02,""
14,Folks,Thao + Mirah,thao-mirah,Thao + Mirah,02:54,Three times around the room
15,Inside Out,Mall Girl,mall-girl,Pure Love,03:25,Shooting those confetti cannons
16,Table,Katy Kirby,katy-kirby,Blue Raspberry,02:01,Laying it all out
17,BREAK,"","","",01:02,""
18,Take Care,Packs,packs,Melt the Honey,03:27,An irresistible drawl
19,This Must Be The Place (Naive Melody),Talking Heads,talking-heads,Speaking In Tounges,04:57,The subtlest of grooves
20,Siento,Dusminguet,dusminguet,Vafalungo,04:33,Traditional feelings
21,The Minute,Push Kings,push-kings,"",03:34,It’s over
22,SIGN OFF,"","","",01:03,""
23,Cry For Me,The California Honeydrops,california-honeydrops,Soul Tub!,03:30,Second line time
