sequence,song,artist,artist_slug,album,time,notes
1,Where To?,Ghost Funk Orchestra,ghost-funk-orchestra,A Trip To The Moon,02:41,Pick a destination
2,BREAK
3,Widescreen Features,Matt Berry,matt-berry,Simplicity,03:41,Sixteen by nine
4,Paris Circa 2007 Slash 08,The Dissociatives,dissociatives,The Dissociatives,03:53,Unruly wanderings
5,Internet,All Them Witches,all-them-witches,Sleeping Through The War,09:50,It's still the place to be
6,BREAK
7,Under Our Pillows,The Smile,smile,Wall Of Eyes,06:14,Asymmetrical looping
8,Juke box (Young Pulse remix),Françoise Hardy,francoise-hardy,Frenchy But Funky,07:25,Not what was on the label
9,Jealous Lies,Soft Hair,soft-hair,Soft Hair,04:39,Very very green
10,BREAK
11,Echo Tricks Me,Helado Negro,helado-negro,PHASOR,04:09,Where is that beat
12,Distance Is The Sun,Tracker,tracker,Polk,03:31,The weight of the sun
13,Beyond Vietnam,Free Radicals,free-radicals,Outside The Comfort Zone,03:07,Wailing away
14,Insults Sweet Like Treacle,SLuG,slug,Thy Socialite!,04:29,It’s complicated
15,BREAK
16,Golden Shanghai,Club Makumba,club-makumba,Sulitânia Beat,04:40,The sun sets on the bay
17,Who + What,Laetitia Sadier,laetitia-sadier,Rooting For Love,03:58,Orchestral whisperings
18,Finding The Holes Filling The Gaps,Eric Bachmann,eric-bachmann,Short Careers - Ball of Wax,04:27,Taking its time
19,DEVO Corporate Anthem,The Coctails,coctails,Popcorn Box,01:53,Originally from Devo
20,BREAK
21,Top Brass Two,Matt Berry,matt-berry,Simplicity,03:07,Starting out the evening
22,Grasshopper,The Maxwell Implosion,maxwell-implosion,Small Circle of Friends,04:12,More telephone and rubber band
23,I Gotta Rokk,DJ Shadow,dj-shadow,I Gotta Rokk,06:29,Stomping on the breaks
24,"In The Basement, Part One",Etta James & Sugar Pie DeSanto,etta-james-sugar-pie-desanto,"",01:53,Hot and heavy
25,BREAK
26,Rain of Ruin,Os Overdoses,os-overdoses,ALL KILLERS! NO FEELERS!,06:53,Humming and thrumming
27,Beatrice The Coyote,Laddio Bolocko,laddio-bolocko,In Real Time,06:14,Howl with me
28,Arms That Never Knew How to Hold,LC Flowers,lc-flowers,May Kindness Be the Lens Through Which You View the Contents of Life,02:38,So very wistful
29,Knives,Cowboy Junkies,cowboy-junkies,Such Ferocious Beauty,04:29,From very far away
30,BREAK
31,Set The Control To Mother Earth,Deadpeach,deadpeach,The Cosmic Haze And The Human Race,07:58,"Not the sun, mind you"
