sequence,song,artist,artist_slug,album,time,notes
1,Velvet,Royel Otis,royel-otis,PRATTS & PAIN,02:12,The good kind of migraine
2,BREAK
3,Muriel’s Big Day Off,Being Dead,being-dead,When Horses Would Run,03:22,Spelling bee!
4,The Running Range,The Go! Team,go-team,Rolling Blackouts,03:45,Big orchestral assault
5,Practical Choke,Os Overdoses,os-overdoses,ALL KILLERS! NO FEELERS!,04:44,Missing a piston
6,BREAK
7,I Am Right On Time,Bleachers,bleachers,Bleachers,03:32,A long train voyage
8,Chick-A-Boom,Trespassers W,trespassers-w,"",04:06,That old refrain
9,Antique Heirlooms,The Bug Club,bug-club,Rare Birds: Hour of Song,01:28,Dust them off
10,BREAK
11,Old Familiar Drunken Feeling,Corb Lund,corb-lund,El Viejo,05:09,Hometown advantage
12,Someday Someway,Marshall Crenshaw,marshall-crenshaw,Marshall Crenshaw (40th Anniversary Expanded Edition),02:49,Completely captivating
13,Fireball,Charlie Chesterman and the Legendary Motorbikes,charlie-chesterman-legendary-motorbikes,Dynamite Music Machine,01:50,Hot hot stuff
14,Heart Of Gold,Leyla McCalla,leyla-mccalla,Vari-colored Songs: A Tribute To Langston Hughes,02:59,Unsettled
15,BREAK
16,I'm Sorry I Changed My Face,Mulberry Drive,mulberry-drive,Untitled Demos,03:22,Abandoned recognition
17,Central Park,Dopo Yume,dopo-yume,True Romance,04:01,The darkest of eye shadows
18,Hells Angels,Fort Lauderdale,fort-lauderdale,1001 Revolutions,02:00,With nefarious intentions
19,Follow The Itinerary,Still Flyin,still-flyin,Never Gonna Touch the Ground,03:27,Arrive at your destination
20,BREAK
21,Been To The Mountain,Margo Price,margo-price,Strays,05:28,High altitudes
