sequence,song,artist,artist_slug,album,time,notes
1,Chemical Animal,The Jesus and Mary Chain,jesus-mary-chain,Glasgow Eyes,04:34,Honing that edge
2,BREAK
3,That Ain't Bad,Ben Lee,ben-lee,"",01:42,Originally from Ratcat
4,Treeland,Being Dead,being-dead,When Horses Would Run,03:36,Getting ready to move in
5,Fireproof,Clap Your Hands Say Yeah,clap-your-hands-say-yeah,The Tourist,04:01,Tripping through the icky ticky
6,BREAK
7,Modern Vanity,The Armed,armed,Perfect Saviors,03:49,Slowly devouring
8,Orange,The Jon Spencer Blues Explosion,jon-spencer-blues-explosion,Orange,02:59,Whoooo
9,Hall & Oates,IDLES,idles,TANGK,02:23,Dead-eyed soul
10,Sixty-Two Thousand Dollars in Debt,Pissed Jeans,pissed-jeans,Half Divorced,01:55,Things could be worse
11,BREAK
12,Softly,Mannequin Pussy,mannequin-pussy,I Got Heaven,03:27,What you need
13,Is This The Music You Like?,The Bug Club,bug-club,Rare Birds: Hour of Song,00:52,This is the music I like
14,Vince The Loveable Stoner,The Fratellis,fratellis,Costello Music,03:14,We all know a Vince
15,When I Can See The Valley,Leyla McCalla,leyla-mccalla,Vari-colored Songs: A Tribute To Langston Hughes,02:10,Singing the blue gospel
16,BREAK
17,Moonlight Highway,Rose City Band,rose-city-band,Garden Party,06:30,Folkadelica
18,Here Comes My Ship,Wreckless Eric & Amy Rigby,wreckless-eric-amy-rigby,Wreckless Eric & Amy Rigby,02:52,Married as hell
19,Mosquito,Mosquitos,mosquitos,Mosquitos,02:35,Buzz buzz
20,(You're My Favorite) Waste of Time (Original 4-Track Recording),Marshall Crenshaw,marshall-crenshaw,Marshall Crenshaw (40th Anniversary Expanded Edition),02:37,From an alternate universe
21,BREAK
22,Eye Of Fatima Pt 1,Eyelids,eyelids,No Jigsaw,03:04,Originally from Camper Van Beethoven
