sequence,song,artist,artist_slug,album,time,notes
1,Danzig With Myself,The Dandy Warhols,dandy-warhols,ROCKMAKER,03:56,Going heavy on the heavy
2,BREAK
3,Nightshift,Eugene McGuinness,eugene-mcguinness,Eugene McGuinness,01:38,In a hurry
4,A Little Bit Of Rain,The Third Mind,third-mind,The Third Mind 2,05:09,About what you can expect
5,First Smile Ever,Cast,cast,Love Is The Call,04:35,Feeling grand
6,BREAK
7,I’ll Keep Singing,Gruff Rhys,gruff-rhys,Sadness Sets Me Free,02:27,Climbing out of it
8,Indivisible,Gibbous Moon,gibbous-moon,Saturn V,02:35,Distant fuzz
9,Angeline,Kid Kapichi,kid-kapichi,There Goes The Neighbourhood,03:24,Fun times if you can remember them
10,Freeze Brain,Real Estate,real-estate,Daniel,03:28,You have to go slowly
11,Teenage Sequencer,Pedro the Lion,pedro-lion,Havasu,04:17,16 steps
12,BREAK
13,I'm So Tired,Lala Lala,lala-lala,FADER & Friends: Volume 1,02:22,Like sleep never comes
14,Ugly Human Heart Pt. 2,Daniel Romano,daniel-romano,Modern Pressure,01:59,Feeling the Harrison
15,Ninja Please,Vells,vells,Integretron,02:43,In an overdriven dream haze
16,BREAK
17,Mango Cool,Cheo,cheo,"",03:01,Originally from Los Amigos Invisibles
18,Here Comes My Baby,Tremelos,tremelos,The Very Best Of The Tremeloes,03:03,Originally from Cat Stevens
19,All Night,The Countdown Quartet,countdown-quartet,Party With!,03:39,Audio caffeine
20,All Rooms Cable A/C Free Coffee,The Extra Glenns,extra-glenns,Martial Arts Weekend,01:48,Stay for a while
21,BREAK
22,"Ruby, Don't Take Your Love to Town",Cake,cake,B-Sides and Rarities,02:56,Originally from Kenny Rogers and First Edition
