sequence,song,artist,artist_slug,album,time,notes
1,Move,Meatbodies,meatbodies,Flora Ocean Tiger Bloom,07:24,Circular motion is neverending
2,BREAK
3,Empathy,Lamplight,lamplight,Lamplight,06:41,Feeling the feelings
4,Walk in the Park,Beach House,beach-house,iTunes Session,05:10,Spread out
5,Down on the Ground,British Sea Power,british-sea-power,Lost Tracks And Rare Demos,04:51,Insistent washes of sound
6,From Catnap To Coma,The Royal Arctic Instittue,royal-arctic-instittue,From Coma To Catharsis,04:22,Through the frigid waters
7,BREAK
8,Don't You Ever Get the Creeps?,mega cat,mega-cat,mega cat,04:21,Dropping into a fresh groove
9,Right On (Feelin' Good),The Baldwin Brothers,baldwin-brothers,Return Of The Golden Rhodes,03:04,Get on it
10,MAD,Caravan Palace,caravan-palace,Gangbusters Melody Club,02:47,"Hit the skids, man"
11,BREAK
12,Aurum C,Fred und Luna,fred-und-luna,Im Fünfminutentakt,05:02,Enjoy the blinkenlights
13,Big John '99,Emperor Penguin,emperor-penguin,Extreme Gaming,04:37,He was quite rugged
14,Cloud 6,Laetitia Sadier,laetitia-sadier,Rooting For Love,05:21,A most exclusive cloud
15,The Truth the Dead Know,El Perro Del Mar,el-perro-del-mar,Big Anonymous,03:17,Very distant signals
16,BREAK
17,Together Forever,STRFKR,strfkr,Parallel Realms,04:38,Glitterball 2000
18,Inner Voice,Cones,cones,Pictures of Pictures,04:25,Scratchy green whispers
19,Heaven,Levitation Room,levitation-room,Strange Weather,03:53,It’s full of paisleys
20,Simple Basics,Matt Berry,matt-berry,Simplicity,03:02,They never fail
21,BREAK
22,Subcision Scars,Applied Communications,applied-communications,Applied Communications Has a Midlife Crisis,02:53,Back in the snark
23,Call Your Mom,Lamplight,lamplight,Lamplight,05:00,Drawing it out
24,Loved,Four Tet,four-tet,Three,04:03,Charting a complex course
25,Avalanches,Caravan Palace,caravan-palace,Gangbusters Melody Club,04:10,Hustling on the sidechain
26,BREAK
27,Silly Cybin,Meatbodies,meatbodies,Flora Ocean Tiger Bloom,03:37,So silly
28,Shelf Warmer,Kim Gordon,kim-gordon,The Collective,04:11,Sparse and lethal
29,Rat Fight,mega cat,mega-cat,mega cat,03:27,Give it in five
30,Circle Circle Circle,Occidental Brothers Dance Band International,occidental-brothers-dance-band-international,Odo Sanbra,04:17,Going around and around
31,BREAK
32,Reverse Cowgirl,People Like Us + Tipsy,people-like-us-tipsy,"",06:08,A collaboration with Tipsy
