sequence,song,artist,artist_slug,album,time,notes
1,Big Congratulations,Holiday Ghosts,holiday-ghosts,Coat of Arms,02:50,Rattling off the wagon
2,BREAK
3,Drive Slow,The Bad Beats,bad-beats,Gotta Get Loose!,03:04,The ole organ grind
4,Last Living Buffalo,Being Dead,being-dead,When Horses Would Run,03:15,Don’t mess with bison
5,Bank Robber,Bristler,bristler,Cascades At Play,03:58,Take the money and run
6,BREAK
7,John Conquest,Alejandro Escovedo,alejandro-escovedo,Echo Dancing,03:16,Grittier than expected
8,jamcod,The Jesus and Mary Chain,jesus-mary-chain,Glasgow Eyes,04:00,They are quite back
9,Big Man,Thee Conductor,thee-conductor,Ennoia,03:01,Large thoughts
10,BREAK
11,Los Narcos ,Master Peace,master-peace,How To Make A Master Peace,01:55,Worth the edits
12,Alcohol And Cocainemarijuananicotine,The Dandy Warhols,dandy-warhols,ROCKMAKER,04:06,Getting into it
13,(Go On) The First Flight,Eyelids,eyelids,No Jigsaw,03:54,Don’t dilly dally
14,Her to the Earth,Elbow,elbow,AUDIO VERTIGO,05:01,Funked out
15,BREAK
16,Cell Phone Says,Adrianne Lenker,adrianne-lenker,Bright Future,02:38,Inside voice
17,Was Fort Worth Worth It?,Corb Lund,corb-lund,El Viejo,03:11,Playing with words
18,Lone Star Lake,Waxahatchee,waxahatchee,Tigers Blood,03:16,More true stories
19,Cynical Girl,Marshall Crenshaw,marshall-crenshaw,Marshall Crenshaw (40th Anniversary Expanded Edition),02:35,Get your own
20,BREAK
21,Emergence,The Messthetics & James Brandon Lewis,messthetics-james-brandon-lewis,The Messthetics & James Brandon Lewis,02:59,Getting proggy in here
