sequence,song,artist,artist_slug,album,time,notes
1,Bike,Peter & The Test Tube Babies,peter-test-tube-babies,Punk Floyd - A Tribute To Pink Floyd,2:44,Originally from Pink Floyd
2,BREAK
3,Run Run Run,The Libertines,libertines,All Quiet On The Eastern Esplanade,2:53,Do not stumble
4,Futurephobic,Frankie and the Witch Fingers,frankie-witch-fingers,Data Doom,3:39,Finger in the light socket
5,I Gots A Weasel,Ween,ween,God Ween Satan: The Oneness [Anniversary Edition],1:22,All the sevenths you can stand
6,Almost Had To Start A Fight / In And Out Of Patience,Parquet Courts,parquet-courts,Wide Awake!,3:15,Step outside
7,BREAK
8,Love We Had,Leyla McCalla,leyla-mccalla,Sun Without The Heat,3:48,A tropical feeling
9,Sally Brown,Laurel Aitken,laurel-aitken,The Story So Far...,4:30,Hit you with the kukumaka stick
10,She’s Got Weird Arms,Melvins,melvins,Tarantula Heart,3:39,Strangely XTC-like
11,BREAK
12,Be the Worm,Psymon Spine,psymon-spine,Head Body Connector,2:57,Delicately modulated beat
13,Local Fashion Junky,Asteroid #4,asteroid-4,Apple Street,4:15,It’s right down the street
14,Joy,Islands and David Shrigley,islands-david-shrigley,Worried Noodles,2:50,Settle in for some fun
15,Static Friction,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,Benson Meets Sangster,0:55,Brief fragment
16,BREAK
17,2 Things At Once,Bendigo Fletcher,bendigo-fletcher,Two Things at Once ,3:43,Filling all available bandwidth
18,Straight to Hell,The Clash,clash,Combat Rock + The People's Hall,5:31,Quite original
19,Hey Venus,That Petrol Emotion,that-petrol-emotion,Chemicrazy,3:18,Sourced from Northern Ireland
20,Secret Journey,The Police,police,Ghost In The Machine (Remastered 2003),3:34,Recorded at AIR Studios
21,BREAK
22,I'd Like To Help You With Your Problem,The Dandy Warhols,dandy-warhols,ROCKMAKER,4:18,Density matters
23,Balu,Elbow,elbow,AUDIO VERTIGO,3:53,Sliding out of control
24,The Eagles and the Beatles,The Jesus and Mary Chain,jesus-mary-chain,Glasgow Eyes,3:10,Loving the rock and roll
25,Illuminati Stormhorse,Less Pain Forever,less-pain-forever,I Know What It's Like To Want To Dance,4:09,Que drama
26,BREAK
27,Never Be Mine,Shambolics,shambolics,"Dreams, Schemes & Young Teams",2:10,Racing far ahead
28,Fire Tonight,The Woolly Bushmen,woolly-bushmen,In Shambles,2:51,Straight outta O-town
29,Michael & His Slipper Tree (The Equals cover),Being Dead,being-dead,FADER & Friends: Volume 1,2:33,Tracked it down
30,Full Throttle,The Wee Turtles,wee-turtles,This Land Is Your Land,2:34,High octane
31,BREAK
32,Bupkis,Mustard Service,mustard-service,Variety Pack,4:34,A lot of nothing
33,The Way You Say It,Chicano Batman & Say She She,chicano-batman-say-she-she,Notebook Fantasy,3:33,Palm tree street funk
34,That's For Sure,Money Mark,money-mark,Mark's Keyboard Repair,1:54,Robot audio pheromones
35,Ada Jean,Khruangbin,khruangbin,A LA SALA,3:19,"Slow burn, sweet smoke"
36,BREAK
37,Double Negative,Omni,omni,Souvenir,2:41,Spiky and disaffected
38,Sugar Town,Shitkid,shitkid,Fish,2:39,Having a great time
39,Pablo's Hippos (feat. Maynard James Keenan),Primus,primus,Sessanta E.P.P.P.,3:26,They’re a real problem
40,Vaya Con Dios,Taraf De Tucson,taraf-de-tucson,"",4:11,""
41,BREAK
42,Dracula,Cindy Lee,cindy-lee,Diamond Jubilee,6:08,A real vampyros lesbos vibe
43,Heavy Music,Pufftube,pufftube,Emergency Peanut,2:17,The heaviest
44,Interstellar Overdrive,Chrome,chrome,Punk Floyd - A Tribute To Pink Floyd,4:30,Originally from Pink Floyd
45,We Will Not Apologize,Eyelids,eyelids,No Jigsaw,0:56,Apology not expected
46,BREAK
47,Stop Apologising (Cosmodelica Extended Mix),David Holmes,david-holmes,"Blind on a Galloping Horse Remixes, Vol.1",7:26,Forget the forgiveness
48,Sinnerman (Felix Da Housecat's Heavenly House Mix),Nina Simone,nina-simone,Verve Remixed 2,4:35,Reworked through and through
49,Sulitânia,Club Makumba,club-makumba,Sulitânia Beat,3:37,A herpetologist’s delight
50,BREAK
51,Isso Isso,Einstürzende Neubauten,einsturzende-neubauten,Rampen (Apm: alien pop music),4:55,Warning signs
52,Peep Show,Frank Never Dies,frank-never-dies,Red Moon Rising,6:15,Keeping an eye out
53,New Orthophony,Stereolab,stereolab,Aluminum Tunes (Switched On Volume 3),6:27,Engage your oscilloscopes
54,BREAK
55,Goodbye Bobby,"The Reds, Pinks and Purples",reds-pinks-purples,Unwishing Well,6:03,Vibrating in the lower spectrum
