sequence,song,artist,artist_slug,album,time,notes
1,Three From Two,Khruangbin,khruangbin,A LA SALA,03:35,In the flicker of torchlight
2,BREAK
3,Haunted World,Real Estate,real-estate,Daniel,03:02,Gentle shadows
4,The Treehouse,Looper,looper,Up A Tree (25th Anniversary Edition),01:31,"Oh yeah, pumped up"
5,Politics Of Free (Live),Woods,woods,Live At Third Man Records Tmr-384,03:33,Insinuating a presence
6,BREAK
7,Sublime Disconnect,Holiday Ghosts,holiday-ghosts,Coat of Arms,02:14,Giving us the frantics
8,The Basement,The Jazz Butcher,jazz-butcher,Cult of the Basement,03:20,There’s goings on
9,This Girl,Jimmy Dale McFadden,jimmy-dale-mcfadden,"",03:27,Ultimate pop experience
10,Sing You a Love You Song,Of Montreal,of-montreal,The Bedside Drama: A Petite Tragedy,02:36,Old fashioned enough
11,BREAK
12,Daggers of Light,Cloud Nothings,cloud-nothings,Final Summer,02:44,Having the photon stabs
13,Very Rare,The Jon Spencer Blues Explosion,jon-spencer-blues-explosion,Orange,03:05,Maybe too rare
14,Doom Boom,Frankie and the Witch Fingers,frankie-witch-fingers,Data Doom,04:11,Preparations are underway
15,Sticks and Stones,Ekko Astral,ekko-astral,pink balloons,03:03,Bring me the hammer
16,BREAK
17,Perfect,Half Japanese,half-japanese,Perfect,02:51,Acing it
18,King Poejo,Club Makumba,club-makumba,Sulitânia Beat,03:42,Early dub heavy
19,Woman,Wolfmother,wolfmother,Wolfmother,02:56,Ode to Guitar Hero I
20,All Of This,Shaimus,shaimus,Paper Sun,02:36,How do they do it
21,BREAK
22,Euro Trash Girl,Chicks on Speed,chicks-on-speed,Will Save Us All,04:02,Originally from Cracker
