sequence,song,artist,artist_slug,album,time,notes
1,The Dominoes,Mustard Service,mustard-service,Variety Pack,02:13,Put them on the table
2,BREAK
3,Baby Don't You Cry,Fergus & Geronimo,fergus-geronimo,Unlearn,02:46,They are quite insistent
4,Buffalo,Stump,stump,Does the Fish Have Chips,03:57,Does the fish have chips?
5,Sweet Tooth,Bendigo Fletcher,bendigo-fletcher,Two Things at Once ,03:59,Get that sugar
6,BREAK
7,Dangerous Game,Blu DeTiger,blu-detiger,All I Ever Want Is Everything,02:39,Quite saucy
8,Flight Tonight,The Avalanches,avalanches,Since I Left You,03:53,Get on that plane
9,Touch Funk,Dumb Heavy,dumb-heavy,Funkathon,02:53,Making it happen
10,BREAK
11,Anything Could Happen,Eyelids,eyelids,No Jigsaw,02:58,The formula works every time
12,Flesh Wound,The Black Crowes,black-crowes,Happiness Bastards,03:35,Keeping up the beat
13,My Machine,Jakobs Castle,jakobs-castle,Enter: The Castle,02:31,Throbbing sidechains
14,Hairy Women,Turner Cody & The Soldiers of Love,turner-cody-soldiers-of-love,Moping In Style: A Tribute to Adam Green,02:28,A heartfelt plea
15,BREAK
16,Tree,Leyla McCalla,leyla-mccalla,Sun Without The Heat,05:37,Batucada ending
17,Era Primavera,Chicano Batman,chicano-batman,Notebook Fantasy,04:11,Lounging by the pool
18,Margaritaville Pt II,Scarves,scarves,Delicate Creatures,03:15,Tiny plucking
19,Had,Portastatic,portastatic,I Hope Your Heart Is Not Brittle,03:21,A tale of past possession
20,BREAK
21,Hey Panda,The High Llamas,high-llamas,Hey Panda,03:33,And their awkward stance
