sequence,song,artist,artist_slug,album,time,notes
1,The Way You Say It,Chicano Batman & Say She She,chicano-batman-say-she-she,Notebook Fantasy,03:33,Palm tree street funk
2,BREAK
3,Bupkis,Mustard Service,mustard-service,Variety Pack,04:34,A lot of nothing
4,That's For Sure,Money Mark,money-mark,Mark's Keyboard Repair,01:54,Robot audio pheromones
5,Ada Jean,Khruangbin,khruangbin,A LA SALA,03:19,"Slow burn, sweet smoke"
6,BREAK
7,Love We Had,Leyla McCalla,leyla-mccalla,Sun Without The Heat,03:48,A tropical feeling
8,Sally Brown,Laurel Aitken,laurel-aitken,The Story So Far...,04:30,Hit you with the kukumaka stick
9,She’s Got Weird Arms,Melvins,melvins,Tarantula Heart,03:39,Strangely XTC-like
10,BREAK
11,Never Be Mine,Shambolics,shambolics,"Dreams, Schemes & Young Teams",02:10,Racing far ahead
12,Fire Tonight,The Woolly Bushmen,woolly-bushmen,In Shambles,02:51,Straight outta O-town
13,Michael & His Slipper Tree (The Equals cover),Being Dead,being-dead,FADER & Friends: Volume 1,02:33,Tracked it down
14,Full Throttle,The Wee Turtles,wee-turtles,This Land Is Your Land,02:34,High octane
15,BREAK
16,2 Things At Once,Bendigo Fletcher,bendigo-fletcher,Two Things at Once ,03:43,Filling all available bandwidth
17,Straight to Hell,The Clash,clash,Combat Rock + The People's Hall,05:31,Quite original
18,Hey Venus,That Petrol Emotion,that-petrol-emotion,Chemicrazy,03:18,Sourced from Northern Ireland
19,Secret Journey,The Police,police,Ghost In The Machine (Remastered 2003),03:34,Recorded at AIR Studios
20,BREAK
21,Bike,Peter & The Test Tube Babies,peter-test-tube-babies,Punk Floyd - A Tribute To Pink Floyd,02:44,Originally from Pink Floyd
