sequence,song,artist,artist_slug,album,time,notes
1,Brian Eno,MGMT,mgmt,Congratulations,4:32,Making the Happenings
2,BREAK
3,Clint Eastwood,Gorillaz,gorillaz,Gorillaz,5:42,Something about muesli
4,D. Boon,Uncle Tupelo,uncle-tupelo,Still Feel Gone,2:32,Guitar for the Minutemen
5,Alan Bean,Hefner,hefner,Dead Media,4:05,The fourth man on the moon
6,Jackie Onassis,Human Sexual Response,human-sexual-response,Fig. 15,3:52,You had me at big sunglasses
7,BREAK
8,Paul Revere,Asylum Street Spankers,asylum-street-spankers,Mercurial,3:37,A double whammy
9,Abe Lincoln,Bishop Allen,bishop-allen,Ep Collection Vol. 2,2:47,Very fast walker
10,Dean Martin,Poor Little Fools,poor-little-fools,Play the Fools,3:10,A smooth operator
11,Frank Sinatra,Cake,cake,Fashion Nugget,4:01,That’s enough
12,BREAK
13,Meg Ryan,Self,self,Breakfast With Girls,4:00,It’s the dream
14,Bill Cosby,Shibboleth,shibboleth,Experiment In Error,3:17,Different times
15,Peter Tripodi,Spot 1019,spot-1019,Still... Again,2:19,Self-referential
16,Vincent Van Gogh,The Squirrels,squirrels,The Squirrels,2:15,He loved color
17,BREAK
18,Carl Sagan,The Boneless Children Foundation,boneless-children-foundation,Stars For Anyone,2:08,Billions of stars
19,James K. Polk,They Might Be Giants,they-might-be-giants,Factory Showroom,3:05,More presidentialism
20,Jack Ruby,Camper Van Beethoven,camper-van-beethoven,Key Lime Pie,5:26,His hat tilted forward
21,BREAK
22,Tortapapír,Besh o drom,besh-o-drom,Best of droM,6:21,Put it all in the blender
23,Shy Kind Of Guy,Gogol Bordello,gogol-bordello,Voi-La Intruder,3:28,Like Peter the Great
24,People Are Strange,Brave Combo,brave-combo,Musical Varieties,1:36,As it was meant to be
25,Bucovina,Shantel,shantel,Bucovina,2:50,Sad and lonely
26,BREAK
27,Adir Alam,Balkan Beat Box,balkan-beat-box,Balkan Beat Box,5:31,Eastern driftings
28,"Hir aj kam, hir aj go",Magnifico,magnifico,Komplet II,3:46,Wandering wandering
29,Ani Meki (I'm Throwing Up),Habiluim,habiluim,הבילויים,1:51,Feeling queasy
30,BREAK
31,Havana Nagila,Hip Hop Hoodíos,hip-hop-hoodios,Raza Hoodia,3:53,What about telekinesis?
32,Optisani,Boban Markovic Orkestar,boban-markovic-orkestar,Bistra Reka,3:12,The haze has reached the mountains
33,Lei Toi,Mitsoura,mitsoura,Mitsoura,3:57,A rare mixing
34,BREAK
35,Lautlos,!Dela Dap,dela-dap,Lautlos,3:49,Dig that squeezebox
36,Magic Mamaliga,O.M.F.O.,o-m-f-o,"",2:10,Fluting on the hump
37,"Usti, Usti Baba",Señor Coconut vs. Koçani Orkestar,senor-coconut-vs-kocani-orkestar,Electric Gypsyland,4:28,Please form an orderly conga
38,Sidi Mansour,Sir Richard Bishop,sir-richard-bishop,The Freak Of Araby,6:04,A standard
39,BREAK
40,Sadagora Hot Dub,Amsterdam Klezmer Band,amsterdam-klezmer-band,Remixed,5:12,Via Shantel
41,The Souvlak,Boom Pam,boom-pam,Boom Pam,4:17,A true odyssey
42,BBBeat,Balkan Beat Box,balkan-beat-box,Nu Med,4:00,Dusty street scene
43,Mahalageasca (Bucovina Dub),Mahala Rai Banda,mahala-rai-banda,Mixtape Vol. 1,4:19,Plenty of mileage left on this one
44,BREAK
45,Goldregen (n.o.h.a. Mix),DelaDap,deladap,Dela Paji,3:39,Opa!
46,Disko,Shantel feat. Boban Markovic Orkestar,shantel-feat-boban-markovic-orkestar,Disko,4:40,Sounding old-fashioned
47,Jungle Shadow,Kiril feat MC Wasp & Rucl,kiril-feat-mc-wasp-rucl,BalkanBeats,3:53,Relentless
48,"Siki, Siki Baba",Gaëtano Fabri vs. Koçani Orkestar,gaetano-fabri-vs-kocani-orkestar,Electric Gypsyland,3:54,"Strict, strict father"
49,BREAK
50,James Bond Theme,Fanfare Ciocarlia,fanfare-ciocarlia,Gili Garabdi,3:09,Next level
51,Gypsy's Kolo,Jony Iliev & band,jony-iliev-band,Ma Maren Ma,2:12,A dramatic presentation
52,The Lark,Kalman Balogh,kalman-balogh,"",3:47,Red hot cimbalom
53,L'Orient est Rouge,Lightning Head vs. Koçani Orkestar,lightning-head-vs-kocani-orkestar,Electric Gypsyland,5:59,Hit those timbales
54,BREAK
55,Soske Murseske Manglape Kurva,Goran Bregovic,goran-bregovic,Karmen (With A Happy End),4:01,Truly operatic
