sequence,song,artist,artist_slug,album,time,notes
1,Double Negative,Omni,omni,Souvenir,02:41,Spiky and disaffected
2,BREAK
3,I'd Like To Help You With Your Problem,The Dandy Warhols,dandy-warhols,ROCKMAKER,04:18,Density matters
4,Balu,Elbow,elbow,AUDIO VERTIGO,03:53,Sliding out of control
5,The Eagles and the Beatles,The Jesus and Mary Chain,jesus-mary-chain,Glasgow Eyes,03:10,Loving the rock and roll
6,Illuminati Stormhorse,Less Pain Forever,less-pain-forever,I Know What It's Like To Want To Dance,04:09,Que drama
7,BREAK
8,Run Run Run,The Libertines,libertines,All Quiet On The Eastern Esplanade,02:53,Do not stumble
9,Futurephobic,Frankie and the Witch Fingers,frankie-witch-fingers,Data Doom,03:39,Finger in the light socket
10,I Gots A Weasel,Ween,ween,God Ween Satan: The Oneness [Anniversary Edition],01:22,All the sevenths you can stand
11,Almost Had To Start A Fight / In And Out Of Patience,Parquet Courts,parquet-courts,Wide Awake!,03:15,Step outside
12,BREAK
13,Be the Worm,Psymon Spine,psymon-spine,Head Body Connector,02:57,Delicately modulated beat
14,Local Fashion Junky,Asteroid #4,asteroid-4,Apple Street,04:15,It’s right down the street
15,Joy,Islands and David Shrigley,islands-david-shrigley,Worried Noodles,02:50,Settle in for some fun
16,Static Friction,Johnny Sangster And Robb Benson,johnny-sangster-robb-benson,Benson Meets Sangster,00:55,Brief fragment
17,BREAK
18,Sugar Town,Shitkid,shitkid,Fish,02:39,Having a great time
19,Pablo's Hippos (feat. Maynard James Keenan),Primus,primus,Sessanta E.P.P.P.,03:26,They’re a real problem
20,Vaya Con Dios,Taraf De Tucson,taraf-de-tucson,"",04:11,Gypsy mariachi
21,BREAK
22,Temporary Secretary,Paul McCartney,paul-mccartney,"The 7"" Singles",03:16,Sir Paul in a technological mood
