sequence,song,artist,artist_slug,album,time,notes
1,Under The Waves,Heavy Trash,heavy-trash,Heavy Trash,03:50,Welcome to the subaquatic kingdom
2,BREAK
3,Where is My Mind?,Pixies,pixies,Surfer Rosa [2018 Remaster],03:54,Isla del encanto
4,Float Away,David Garza,david-garza,This Euphoria,03:31,Texas flood
5,Swim,Surfer Blood,surfer-blood,Astro Coast,03:19,Drenched in reverb
6,Drown,Black Tambourine,black-tambourine,Black Tambourine,02:42,Faraway echoes
7,BREAK
8,Take Me to the River,Talking Heads,talking-heads,More Songs About Buildings And Food,05:03,Baptism disco
9,Underwater Moonlight,The Soft Boys,soft-boys,Underwater Moonlight,04:18,Scintillating rays
10,Waves (The Time That Youre Awake),The Elected,elected,Me First,03:35,Drifting through
11,BREAK
12,Went For A Swim,The Fastbacks,fastbacks,"Answer the Phone, Dummy",01:55,Boil that lake
13,King Of The Waves,Little Barrie,little-barrie,King Of The Waves,04:36,Buoyant vibrations
14,Swim,Madder Rose,madder-rose,Bring It Down,02:39,A tsunami of 90s energy
15,Ocean Man,Ween,ween,The Mollusk,02:07,Take me by the hand
16,BREAK
17,The Swimmer,Tracker,tracker,Polk,04:16,Wash off the dust
18,The River Song,The Extra Glenns,extra-glenns,Martial Arts Weekend,03:26,Let them drown
19,Sea Ghost,The Unicorns,unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),03:43,League after league it yet remained
20,Seasick,The Jesus Lizard,jesus-lizard,Goat,03:11,Sinking like a rock
21,BREAK
22,Underwater,The Gentle People,gentle-people,Simply Faboo,06:09,Just drifting through
