sequence,song,artist,artist_slug,album,time,notes
1,You Really Got Me,Van Halen,van-halen,Van Halen,2:39,Originally from the Kinks
2,BREAK
3,Oi! Division,Les Savy Fav,les-savy-fav,"OUI, LSF",3:02,Electric mappings
4,Which Dooyoo Like?,Boredoms,boredoms,Pop Tatari,2:08,Make some noise
5,I MOCK JOGGERS,BIG SPECIAL,big-special,POSTINDUSTRIAL HOMETOWN BLUES,2:03,Resentful of their physicality
6,Float Into The Sky,Cage The Elephant,cage-elephant,Neon Pill,3:59,In an aspirational mood
7,BREAK
8,The Hourglass,Shannon & the Clams,shannon-clams,The Moon Is In The Wrong Place,3:45,Breakneck triplets
9,Who Is On Your Side,The Ditty Mu,ditty-mu,First Suckling,4:37,Really need to know
10,EPA (Edward Paul Abbey),Coastwest Unrest,coastwest-unrest,The Crazed Ones,2:32,Monkeywrenching
11,Suicide King,Mary My Hope,mary-my-hope,Museum,5:22,Southern gothic
12,BREAK
13,Ghoul,Rainbow Kitten Surprise,rainbow-kitten-surprise,Love Hate Music Box,3:50,Ponderous messaging
14,Drown A Fish,Islands,islands,What Occurs,3:09,More material from under the waves
15,Pure Gold,Dehd,dehd,Poetry,3:17,"Shiny, yellow"
16,"Sad Apples, Dance!",Art Lord And The Self Portraits,art-lord-self-portraits,Compulation Vol. 2: Songs from North Carolina,4:04,Melancholy fruit shakes
17,BREAK
18,Wild One,Cindy Lee,cindy-lee,Diamond Jubilee,2:05,Not too wild
19,Many Moons Of Love,Babe Rainbow,babe-rainbow,Today,3:32,Sheer lunacy
20,Guaglione,Perez Prado,perez-prado,Lo Mejor De ...,2:22,Back and forth and back
21,Bananas,Oranj Symphonette,oranj-symphonette,"",0:40,""
22,BREAK
23,Love Of A Girl,The Avett Brothers,avett-brothers,The Avett Brothers,3:17,Works every time
24,The Great American Picnic,Being Dead,being-dead,When Horses Would Run,2:17,Lonesome and distant
25,Quality Pints,The Bug Club,bug-club,Quality Pints,2:19,In your town!
26,Untitled,Tapir!,tapir,"The Pilgrim, Their God and the King of My Decrepit Mountain",3:34,A doomed type of relaxing
27,BREAK
28,American Cowboy,Guppy,guppy,Something Is Happening…,3:48,Something I can actually feel
29,Love Theme from Emergency Peanut,Pufftube,pufftube,Emergency Peanut,1:34,Unsettled
30,Oh Sweet Susanna,The Mooney Suzuki,mooney-suzuki,Electric Sweat,3:34,Those handclaps
31,You're The One,Humbert,humbert,Plant The Trees Closer Together,3:54,South Florida crunch pop
32,BREAK
33,We're Going to Make It in a Man's World,Camera Obscura,camera-obscura,"Look to the East, Look to the West",4:17,Scottish country music
34,From Outside A Window Sill,Crumb,crumb,AMAMA,2:38,The sound of rain on glass
35,Destroy The Flower,Lisa Germano,lisa-germano,Happiness,3:12,Shards and shatters
36,Adulter8,Sega Bodega,sega-bodega,Dennis,3:08,Bitcrushed
37,BREAK
38,So Long Chicago,Pokey Lafarge,pokey-lafarge,Rhumba Country,3:37,Strutting away
39,Sleepwalk,Los Straitjackets,los-straitjackets,¡Damas y Caballeros!,4:04,Originally from Santo and Johnny
40,Caliente,Los Amigos Invisibles,los-amigos-invisibles,Arepa 3000,4:23,Muy calentey!
41,Clearly Of You,The Countdown Quartet,countdown-quartet,The Countdown Quartet,4:22,Feeling romantic
42,BREAK
43,CAPITAL D,Disappearer,disappearer,Disappearer EP,3:43,Seething fury
44,BYE BYE,Kim Gordon,kim-gordon,The Collective,4:14,She’s done
45,A Schoolboy's Charm,The American Analog Set,american-analog-set,New Drifters,4:23,A hypnotic drone
46,Ultradement,Peaches Shoecase,peaches-shoecase,Lesní Zvěrstvo,3:34,I don’t know either
47,BREAK
48,WSOD,Shellac,shellac,To All Trains,2:24,Tone like a scalpel
49,Phone Scam,Dry Cleaning,dry-cleaning,Boundary Road Snacks And Drinks & Sweet Princess,3:09,A lurid story
50,Sousoume Tamacheq,Mdou Moctar,mdou-moctar,Funeral for Justice,5:41,Foot on the gas
51,Out In The Streets,Africa HiTech,africa-hitech,93 Million Miles,5:12,Throbbing headache
52,BREAK
53,Isso Isso (That's right),Einstürzende Neubauten,einsturzende-neubauten,Rampen: apm (alien pop music),4:51,Wry and Teutonic
54,Revelations,Levitation Room,levitation-room,Strange Weather,3:46,All is made clear
55,We Got the System to Fight the System (Remastered),Maserati,maserati,Pyramid of the Sun (Anniversary Edition),4:13,Bagel goes under
56,Funky Junkyard,Baldwin Brothers,baldwin-brothers,Cooking With Lasers,3:26,The junkiest
57,BREAK
58,Es ist so schön,Fred und Luna,fred-und-luna,Im Fünfminutentakt,5:19,The tickety-boo
