sequence,song,artist,artist_slug,album,time,notes
1,The Hourglass,Shannon + The Clams,shannon-clams,The Moon Is In The Wrong Place,03:45,Breakneck triplets
2,BREAK
3,Oi! Division,Les Savy Fav,les-savy-fav,"OUI, LSF",03:02,Electric mappings
4,Which Dooyoo Like?,Boredoms,boredoms,Pop Tatari,02:08,Make some noise
5,I MOCK JOGGERS,BIG SPECIAL,big-special,POSTINDUSTRIAL HOMETOWN BLUES,02:03,Resentful of their physicality
6,Float Into The Sky,Cage The Elephant,cage-elephant,Neon Pill,03:59,In an aspirational mood
7,BREAK
8,From Outside A Window Sill,Crumb,crumb,AMAMA,02:38,The sound of rain on glass
9,Who Is On Your Side,The Ditty Mu,ditty-mu,First Suckling,04:37,Really need to know
10,EPA (Edward Paul Abbey),Coastwest Unrest,coastwest-unrest,The Crazed Ones,02:32,Monkeywrenching
11,BREAK
12,Ghoul,Rainbow Kitten Surprise,rainbow-kitten-surprise,Love Hate Music Box,03:50,Ponderous messaging
13,Drown A Fish,Islands,islands,What Occurs,03:09,More material from under the waves
14,Pure Gold,Dehd,dehd,Poetry,03:17,"Shiny, yellow"
15,"Sad Apples, Dance!",Art Lord And The Self Portraits,art-lord-self-portraits,Compulation Vol. 2: Songs from North Carolina,04:04,Melancholy fruit shakes
16,BREAK
17,Wild One,Cindy Lee,cindy-lee,Diamond Jubilee,02:05,Not too wild
18,Many Moons Of Love,Babe Rainbow,babe-rainbow,Today,03:32,Sheer lunacy
19,Guaglione,Perez Prado,perez-prado,Lo Mejor De ...,02:22,Back and forth and back
20,Bananas,Oranj Symphonette,oranj-symphonette,"",00:40,Outrageous!
21,BREAK
22,Suicide King,Mary My Hope,mary-my-hope,Museum,05:22,Southern gothic
