sequence,song,artist,artist_slug,album,time,notes
1,BREAK
2,I Got Cash,Brooklyn Funk Essentials,brooklyn-funk-essentials,Make Them Like It,04:51,Fair warning
3,BREAK
4,You Got Good Shit,Das Clamps,das-clamps,Shit Music For Shit People,03:27,Let’s get fecal
5,Martians Are Punk,Fossil Fuel,fossil-fuel,Wheelchair Full of Old Men,02:05,Not safe in so many ways
6,Fucked Up Party,Hard‐Ons,hard-ons,"I'm Sorry Sir, That Riffs Been Taken",02:27,Something you will now sing to yourself
7,To The Moon And Back,Fever Ray,fever-ray,Plunge,04:38,The magic of space travel
8,BREAK
9,Reason to Hate You,Goodbye Honolulu,goodbye-honolulu,Goodbye Honolulu,03:16,Unavoidable
10,Pressed 2 Death,illuminati hotties,illuminati-hotties,Kiss Yr Frenemies,02:15,Expressive delivery
11,Tell All Your Friend,Okey Dokey,okey-dokey,Tell All Your Friend,02:43,Commence the hostilities
12,Awkward Silence,Stuckey & Murray,stuckey-murray,Mythical Fornication,04:24,There it is
13,BREAK
14,Esto Es Mierda,Molotov,molotov,Sólo D'Lira,03:15,All languages welcome
15,Dial My Number,MAI LAN,mai-lan,Autopilote,03:22,Give her a ring
16,Cock Mobster,MC Paul Barman,mc-paul-barman,Paullelujah!? Remastered + Bonused,03:54,Winona Ryder?
17,Crypt Of Lost Styles,Mr. Lif & Brass Menazeri,mr-lif-brass-menazeri,Resilient,03:18,It's all right in there
18,BREAK
19,Lew Alcindor,The Jack Moves,jack-moves,Free Money,03:40,aka Kareem Abdul-Jabbar
20,Pablo Picasso,The Modern Lovers,modern-lovers,The Record Shop-30 Years Of Rough Trade Shops,04:22,The power of art
21,Russel Crowe,Moon Hooch,moon-hooch,Buy This Fracking Album,04:12,He sounds like a handful
22,BREAK
23,You're An Asshole,Artikal Sound System,artikal-sound-system,Welcome to Florida,02:39,In the nicest way possible
