sequence,song,artist,artist_slug,album,time,notes
1,CAPITAL D,Disappearer,disappearer,Disappearer EP,03:43,Seething fury
2,BREAK
3,Dracula,Cindy Lee,cindy-lee,Diamond Jubilee,06:08,A real vampyros lesbos vibe
4,Heavy Music,Pufftube,pufftube,Emergency Peanut,02:17,The heaviest
5,Interstellar Overdrive,Chrome,chrome,Punk Floyd - A Tribute To Pink Floyd,04:30,Originally from Pink Floyd
6,We Will Not Apologize,Eyelids,eyelids,No Jigsaw,00:56,Apology not expected
7,BREAK
8,Stop Apologising (Cosmodelica Extended Mix),David Holmes,david-holmes,"Blind on a Galloping Horse Remixes, Vol.1",07:26,Forget the forgiveness
9,Sinnerman (Felix Da Housecat's Heavenly House Mix),Nina Simone,nina-simone,Verve Remixed 2,04:35,Reworked through and through
10,Sulitânia,Club Makumba,club-makumba,Sulitânia Beat,03:37,A herpetologist’s delight
11,BREAK
12,Peep Show,Frank Never Dies,frank-never-dies,Red Moon Rising,06:15,Keeping an eye out
13,New Orthophony,Stereolab,stereolab,Aluminum Tunes (Switched On Volume 3),06:27,Engage your oscilloscopes
14,Es ist so schön,Fred und Luna,fred-und-luna,Im Fünfminutentakt,05:19,The tickety-boo
15,Walk In The Stratosphere,Kim & Buran,kim-buran,Tramplin,04:57,Floyd me baby
16,BREAK
17,BYE BYE,Kim Gordon,kim-gordon,The Collective,04:14,She’s done
18,A Schoolboy's Charm,The American Analog Set,american-analog-set,New Drifters,04:23,A hypnotic drone
19,Ultradement,Peaches Shoecase,peaches-shoecase,Lesní Zvěrstvo,03:34,I don’t know either
20,Negative Sister,Posh Swat,posh-swat,"Posh Swat 7""",05:51,Resonant rudiments
21,BREAK
22,WSOD,Shellac,shellac,To All Trains,02:24,Tone like a scalpel
23,Phone Scam,Dry Cleaning,dry-cleaning,Boundary Road Snacks And Drinks & Sweet Princess,03:09,A lurid story
24,Sousoume Tamacheq,Mdou Moctar,mdou-moctar,Funeral for Justice,05:41,Foot on the gas
25,Out In The Streets,Africa HiTech,africa-hitech,93 Million Miles,05:12,Throbbing headache
26,BREAK
27,Isso Isso (That's right),Einstürzende Neubauten,einsturzende-neubauten,Rampen: apm (alien pop music),04:51,Wry and Teutonic
28,Revelations,Levitation Room,levitation-room,Strange Weather,03:46,All is made clear
29,We Got the System to Fight the System (Remastered),Maserati,maserati,Pyramid of the Sun (Anniversary Edition),04:13,Bagel goes under
30,Funky Junkyard,Baldwin Brothers,baldwin-brothers,Cooking With Lasers,03:26,The junkiest
31,BREAK
32,Goodbye Bobby,"The Reds, Pinks and Purples",reds-pinks-purples,Unwishing Well,06:03,Vibrating in the lower spectrum
