sequence,song,artist,artist_slug,album,time,notes
1,Dinner Bell,The Bobs,bobs,Rhapsody in Bob,2:02,Originally from They Might Be Giants
2,BREAK
3,Okay,Maya Hawke,maya-hawke,Chaos Angel,3:58,If a bit woozy
4,Floating On A Moment,Beth Gibbons,beth-gibbons,Lives Outgrown,5:26,A drifting mood
5,4316,Isobel Campbell,isobel-campbell,Bow to Love,3:20,The apples in Scottish
6,BREAK
7,Inside This Dance,Alejandro Escovedo,alejandro-escovedo,Echo Dancing,5:31,Quite smoky
8,Oklahoma Nova Scotia,Being Dead,being-dead,When Horses Would Run,2:31,Very far away
9,My Mood Wave,The Lovely Eggs,lovely-eggs,Eggsistentialism,3:23,Filling the spectrum
10,Dalí's Clock,Shannon & the Clams,shannon-clams,The Moon Is In The Wrong Place,3:02,Melting away polka
11,BREAK
12,Sociometer Blues,Arab Strap,arab-strap,I'm totally fine with it don't give a fuck anymore,3:44,Waking up this morning
13,Tangerine,Islands,islands,What Occurs,3:32,For the citrus lovers
14,Bigfoot,The Legendary Jim Ruiz Group,legendary-jim-ruiz-group,Sniff 1998,2:55,That special beat
15,Texting & Driving,Guppy,guppy,Something Is Happening…,2:59,Don’t do it
16,BREAK
17,For A Night,Pokey Lafarge,pokey-lafarge,Rhumba Country,3:13,Feeling tropical
18,Big Ciggie,Royel Otis,royel-otis,PRATTS & PAIN,2:41,Get yer sleaze on
19,Koteja (Oh Bolilla),Stewart Copeland,stewart-copeland,"",3:30,From the Rhythmatist soundtrack
20,BREAK
21,Silent Picture,Cage The Elephant,cage-elephant,Neon Pill,3:46,Fuzzing it out
22,Eat My Words,Divorce,divorce,Heady Metal,3:32,Winning the argument
23,San Diego,Wheat,wheat,Hope and Adams,2:52,The kids don’t hang
24,Losing My Mind,Chicano Batman,chicano-batman,Notebook Fantasy,3:25,Fantastic casiocore
25,BREAK
26,Hide & Seek,The Jesus Lizard,jesus-lizard,Rack ,3:05,The familiar throb
27,Mystery Achievement,Pretenders,pretenders,Pretenders,5:26,Still fresh
28,Comme Un Garçon,Stereo Total,stereo-total,Oh Ah,2:40,So much noisy
29,My Kind,Guster,guster,Ooh La La,3:18,A grandiose recap
30,BREAK
31,Lou Reed Was My Babysitter [First Draft],Jeff Tweedy,jeff-tweedy,Starship Casual: Orbit One,3:22,Rough and ready
32,Espionage,The dB's,db-s,Stands for deciBels [2024 Remaster],2:43,Early edge
33,The Last Year,Jessica Pratt,jessica-pratt,Here In the Pitch,3:36,Sparseness abounds
34,No Machine,Adrianne Lenker,adrianne-lenker,Bright Future,3:01,Forget the devices
35,BREAK
36,Brown Paper Bag,DIIV,diiv,Frog In Boiling Water,4:25,Methodical about it
37,Big Time Nothing,St. Vincent,st-vincent,All Born Screaming,2:59,Montage music
38,Mr. Whisky,The Gentle People,gentle-people,Simply Faboo,2:24,He’s a cheery fellow
39,Weird At My School,Pixies,pixies,Monkey Gone to Heaven [EP],2:02,Obscure favorite
40,BREAK
41,Ah Yeh,Beak>,beak,>>>>,5:53,Jungle a go go
42,Go Freaks Go,Brainiac,brainiac,Internationale,2:24,Making the frantics
43,The Fifth Allen,Rah Brahs,rah-brahs,EP Collection,2:02,Allen Allen Allen and Allen
44,Scabby the Rat,Shellac,shellac,To All Trains,1:46,Not a friendly fellow
45,BREAK
46,BUTCHER'S BIN,BIG SPECIAL,big-special,POSTINDUSTRIAL HOMETOWN BLUES,4:01,Unrelenting
47,The Pit of Language,Einstürzende Neubauten,einsturzende-neubauten,Rampen (Apm: alien pop music),4:31,It’s nearly bottomless
48,Lockstepp,Cindy Lee,cindy-lee,Diamond Jubilee,4:40,Echoes and reverbs
49,BREAK
50,Clouds,The Balloonist,balloonist,A Quiet Day,5:59,A gentle drift
51,Rachel,STRFKR,strfkr,"Vault, Vol. 1",2:25,The new classical
52,130.5,Subthunk,subthunk,Just A Few Notes Before You Go,5:55,Insistent bass
53,BB Care,Skee Mask,skee-mask,Resort,5:16,Much needed
54,BREAK
55,11:11,JD Pinkus,jd-pinkus,Grow A Pear,7:24,Palindromic time
