sequence,song,artist,artist_slug,album,time,notes
1,American Cowboy,Guppy,guppy,Something Is Happening…,03:48,Something I can actually feel
2,BREAK
3,BREAK
4,Love Of A Girl,The Avett Brothers,avett-brothers,The Avett Brothers,03:17,Works every time
5,The Great American Picnic,Being Dead,being-dead,When Horses Would Run,02:17,Lonesome and distant
6,Quality Pints,The Bug Club,bug-club,Quality Pints,02:19,In your town!
7,Untitled,Tapir!,tapir,"The Pilgrim, Their God and the King of My Decrepit Mountain",03:34,A doomed type of relaxing
8,BREAK
9,Oh Sweet Susanna,The Mooney Suzuki,mooney-suzuki,Electric Sweat,03:34,Those handclaps
10,Love Theme from Emergency Peanut,Pufftube,pufftube,Emergency Peanut,01:34,Unsettled
11,You're The One,Humbert,humbert,Plant The Trees Closer Together,03:54,South Florida crunch pop
12,BREAK
13,We're Going to Make It in a Man's World,Camera Obscura,camera-obscura,"Look to the East, Look to the West",04:17,Scottish country music
14,Destroy The Flower,Lisa Germano,lisa-germano,Happiness,03:12,Shards and shatters
15,Adulter8,Sega Bodega,sega-bodega,Dennis,03:08,Bitcrushed
16,BREAK
17,So Long Chicago,Pokey Lafarge,pokey-lafarge,Rhumba Country,03:37,Strutting away
18,Sleepwalk,Los Straitjackets,los-straitjackets,¡Damas y Caballeros!,04:04,Originally from Santo and Johnny
19,Caliente,Los Amigos Invisibles,los-amigos-invisibles,Arepa 3000,04:23,Muy calentey!
20,BREAK
21,Clearly Of You,The Countdown Quartet,countdown-quartet,The Countdown Quartet,04:22,Feeling romantic
