sequence,song,artist,artist_slug,album,time,notes
1,Sociometer Blues,Arab Strap,arab-strap,I'm totally fine with it don't give a fuck anymore,03:44,Waking up this morning
2,BREAK
3,Tangerine,Islands,islands,What Occurs,03:32,For the citrus lovers
4,Bigfoot,The Legendary Jim Ruiz Group,legendary-jim-ruiz-group,Sniff 1998,02:55,That special beat
5,Texting & Driving,Guppy,guppy,Something Is Happening…,02:59,Don’t do it
6,BREAK
7,Okay,Maya Hawke,maya-hawke,Chaos Angel,03:58,If a bit woozy
8,Floating On A Moment,Beth Gibbons,beth-gibbons,Lives Outgrown,05:26,A drifting mood
9,4316,Isobel Campbell,isobel-campbell,Bow to Love,03:20,The apples in Scottish
10,BREAK
11,Inside This Dance,Alejandro Escovedo,alejandro-escovedo,Echo Dancing,05:31,Quite smoky
12,Oklahoma Nova Scotia,Being Dead,being-dead,When Horses Would Run,02:31,Very far away
13,My Mood Wave,The Lovely Eggs,lovely-eggs,Eggsistentialism,03:23,Filling the spectrum
14,Dalí's Clock,Shannon & the Clams,shannon-clams,The Moon Is In The Wrong Place,03:02,Melting away polka
15,BREAK
16,Brown Paper Bag,DIIV,diiv,Frog In Boiling Water,04:25,Methodical about it
17,Big Time Nothing,St. Vincent,st-vincent,All Born Screaming,02:59,Montage music
18,Mr. Whisky,The Gentle People,gentle-people,Simply Faboo,02:24,He’s a cheery fellow
19,Weird At My School,Pixies,pixies,Monkey Gone to Heaven [EP],02:02,Obscure favorite
20,BREAK
21,Dinner Bell,The Bobs,bobs,Rhapsody in Bob,02:02,Originally from They Might Be Giants
