sequence,song,artist,artist_slug,album,time,notes
1,Hide + Seek,The Jesus Lizard,jesus-lizard,Rack ,03:05,The familiar throb
2,BREAK
3,Mystery Achievement,Pretenders,pretenders,Pretenders,05:26,Still fresh
4,Comme Un Garçon,Stereo Total,stereo-total,Oh Ah,02:40,So much noisy
5,My Kind,Guster,guster,Ooh La La,03:18,A grandiose recap
6,BREAK
7,Silent Picture,Cage The Elephant,cage-elephant,Neon Pill,03:46,Fuzzing it out
8,Eat My Words,Divorce,divorce,Heady Metal,03:32,Winning the argument
9,San Diego,Wheat,wheat,Hope and Adams,02:52,The kids don’t hang
10,Losing My Mind,Chicano Batman,chicano-batman,Notebook Fantasy,03:25,Fantastic casiocore
11,BREAK
12,Lou Reed Was My Babysitter [First Draft],Jeff Tweedy,jeff-tweedy,Starship Casual: Orbit One,03:22,Rough and ready
13,Espionage,The dB's,db-s,Stands for deciBels [2024 Remaster],02:43,Early edge
14,The Last Year,Jessica Pratt,jessica-pratt,Here In the Pitch,03:36,Sparseness abounds
15,No Machine,Adrianne Lenker,adrianne-lenker,Bright Future,03:01,Forget the devices
16,BREAK
17,For A Night,Pokey Lafarge,pokey-lafarge,Rhumba Country,03:13,Feeling tropical
18,Big Ciggie,Royel Otis,royel-otis,PRATTS & PAIN,02:41,Get yer sleaze on
19,Koteja (Oh Bolilla),Stewart Copeland,stewart-copeland,"",03:30,From the Rhythmatist soundtrack
20,BREAK
21,Utopia Parkway,Fountains Of Wayne,fountains-of-wayne,Utopia Parkway,03:07,Part the clouds
