sequence,song,artist,artist_slug,album,time,notes
1,Scaled to Survive,Leyla McCalla,leyla-mccalla,Sun Without the Heat,03:32,Lovely chirps
2,BREAK
3,Coastal,Frankenixon,frankenixon,Frankenixon EP,02:49,Make me ride the faders
4,I’m Fighting a 10 Foot Tall Nancy Pelosi,Guppy,guppy,Something is Happening...,03:27,Getting all political
5,New Girl Singing,Buffalo Tom,buffalo-tom,Jump Rope,03:10,An old-time song
6,BREAK
7,Macaroni Moon,The Rare Occasions,rare-occasions,Macaroni Moon [SINGLE],03:15,Feeling nostalgic
8,A Day Is A Long Time,Psymon Spine,psymon-spine,Head Body Connector,04:12,A dangerous assertion
9,Kid on My Shoulders,White Rabbits ,white-rabbits,Fort Nightly,04:33,The circus is not what you expected
10,BREAK
11,One On One,Illinois,illinois,What the Hell Do I Know?,02:33,Truly implacable
12,Mouth Breather,The Jesus Lizard,jesus-lizard,Goat,02:17,Don’t get me wrong
13,Fry,The Orwells,orwells,Terrible Human Beings,02:03,Making it sizzle
14,Bundle of Joy,Lenny Kravitz,lenny-kravitz,Blue Electric Light,05:06,Whiplash retro
15,BREAK
16,Recent Mineral,Church Chords,church-chords,"elvis, he was Schlager",04:05,Avoid getting comfortable
17,Everyone Out,DIIV,diiv,Frog In Boiling Water,04:52,Subtle urgings
18,Reaching Out,Beth Gibbons,beth-gibbons,Lives Outgrown,04:15,Making a connection
19,BREAK
20,Itchycoo Park,Robyn Hitchcock,robyn-hitchcock,1967: Vacations in the Past,03:14,Originally from The Small Faces
