sequence,song,artist,artist_slug,album,time,notes
1,Ah Yeh,Beak>,beak,>>>>,05:53,Jungle a go go
2,BREAK
3,Go Freaks Go,Brainiac,brainiac,Internationale,02:24,Making the frantics
4,The Fifth Allen,Rah Brahs,rah-brahs,EP Collection,02:02,Allen Allen Allen and Allen
5,Scabby the Rat,Shellac,shellac,To All Trains,01:46,Not a friendly fellow
6,11:11,JD Pinkus,jd-pinkus,Grow A Pear,07:24,Palindromic time
7,BREAK
8,BUTCHER'S BIN,BIG SPECIAL,big-special,POSTINDUSTRIAL HOMETOWN BLUES,04:01,Unrelenting
9,The Pit of Language,Einstürzende Neubauten,einsturzende-neubauten,Rampen (Apm: alien pop music),04:31,It’s nearly bottomless
10,Lockstepp,Cindy Lee,cindy-lee,Diamond Jubilee,04:40,Echoes and reverbs
11,"1,2,3,4,5,7,11!",The Mattoid,mattoid,Great Lovers,02:35,A song for Tuco
12,BREAK
13,Clouds,The Balloonist,balloonist,A Quiet Day,05:59,A gentle drift
14,Rachel,STRFKR,strfkr,"Vault, Vol. 1",02:25,The new classical
15,130.5,Subthunk,subthunk,Just A Few Notes Before You Go,05:55,Insistent bass
16,BB Care,Skee Mask,skee-mask,Resort,05:16,Much needed
17,BREAK
18,Caravan,"Andrew Bird, Alan Hampton & Ted Poor",andrew-bird-alan-hampton-ted-poor,Sunday Morning Put-On,04:32,Originally from Duke Ellington
19,Master Manipulator,Bourbon Princess,bourbon-princess,Dark Of Days,04:05,A lethal combination
20,My Low - Chuned Banjo,World Standard,world-standard,Country Gazette,03:35,Out in the woods
21,Western Town,North Americans,north-americans,Long Cool World,03:55,Haze and vibes
22,BREAK
23,Leuterisms,Mr. Chop,mr-chop,Glass Cathedral,03:37,Sawing it to pieces
24,Soul Finger,Pufftube,pufftube,Emergency Peanut,02:03,Originally from the Bar-Kays
25,Airmail Special (Club Des Belugas Remix),Ella Fitzgerald,ella-fitzgerald,Remixes,04:42,A plate o’ shrimp moment
26,Cloud Cuckooland,The Real Tuesday Weld,real-tuesday-weld,The London Book of the Dead,03:09,Floating way up there
27,BREAK
28,Setting Sail,Thunderpussy,thunderpussy,West,05:39,Maritime escapades
29,Eskeleto feat. Afrikan Boy,Buraka Som Sistema,buraka-som-sistema,Steampunk Experiment: Mechanical Cabaret,04:29,Electrifying
30,Feelings of Hell,Andy Clap,andy-clap,"Dub Techno Tunnels, Vol. 6",07:05,The signs are obvious
31,Metaphonk,µ-Ziq,ziq,Grush,05:06,Undulations
32,BREAK
33,Amorfo,Beta III,beta-iii,Hipercultismo,07:10,Release the glitter bombs
