sequence,song,artist,artist_slug,album,time,notes
1,Firefighters,Being Dead,being-dead,EELS,04:31,Setting blazes afire
2,BREAK
3,THIS HERE AIN'T WATER,BIG SPECIAL,big-special,POSTINDUSTRIAL HOMETOWN BLUES,03:23,Impossible slippage
4,Livid,Wilco,wilco,Hot Sun Cool Shroud [EP],01:10,Freaking out Osees style
5,Fountain and Fairfax,Afghan Whigs,afghan-whigs,Gentlemen,04:21,Off that stuff
6,BREAK
7,Parasite,The Dwarves,dwarves,Keep It Reel,02:16,A fascinating topic
8,The End,Islands,islands,What Occurs,03:20,Grand finale
9,Rocket Ship,Kathy McCarty,kathy-mccarty,Dead Dog's Eyeball - Songs of Daniel Johnston,04:13,Originally from Daniel Johnston
10,Pintura,Levitation Room,levitation-room,Strange Weather,02:19,Fire up the lava lamps
11,BREAK
12,Country Kid,The Avett Brothers,avett-brothers,The Avett Brothers,03:33,Legit genuine the real deal
13,Three Years Ago Today,Built To Spill,built-to-spill,Ultimate Alternative Wavers,03:56,Epic reminiscence
14,Heroes,Jeff Tweedy,jeff-tweedy,Starship Casual: Orbit One,06:02,Originally from David Bowie
15,BREAK
16,This Wasn't Intentional,King Hannah,king-hannah,Big Swimmer,05:00,The coincidence of accident
17,Never,The Future Kings of Nowhere,future-kings-of-nowhere,The Future Kings of Nowhere,03:15,Absolutely
18,Disposable Everything (Demo),AJJ,ajj,Disposable Everything Else,02:57,The grim truth
19,BREAK
20,Why Worry,Isobel Campbell,isobel-campbell,Bow to Love,04:10,Originally from Dire Straits
