sequence,song,artist,artist_slug,album,time,notes
1,Poppies,La Luz,la-luz,News of the Universe,03:32,For the poppy lovers
2,BREAK
3,I CAN'T BELIEVE IT'S TRUE,Eels,eels,EELS TIME!,03:57,But it is and we’re glad
4,Pier 4,Clairo,clairo,Charm,03:25,A relaxed rebuke
5,Nature Song,Guppy,guppy,Something Is Happening…,02:39,Pulling up weeds
6,BREAK
7,Black Balloon,Guster,guster,Ooh La La,02:58,Dark thoughts filled out
8,Drown A Fish,Islands,islands,What Occurs,03:09,Difficult but not impossible
9,Sweat Indoors,Mitsoobishy Jackson,mitsoobishy-jackson,Nougat In Koblenz,02:24,Ground to fine powder
10,Lonely Mary,The Green Goblyn Project,green-goblyn-project,Earth Must Be Destroyed,02:14,Urgent pleas
11,BREAK
12,What's In It For You?,Redd Kross,redd-kross,Redd Kross,03:44,Brand new old stuff
13,Hectified,Jason Falkner,jason-falkner,Presents Author Unknown,02:57,All the way
14,Committed,Jenny and Johnny,jenny-johnny,I'm Having Fun Now,02:45,Getting locked away
15,Molly's Lips,The Vaselines,vaselines,The Vaselines / Beat Happening,01:44,Bring me that bicycle horn
16,BREAK
17,Crime Scene Queen,The Felice Brothers,felice-brothers,Valley of Abandoned Songs,03:51,Full studio treatment
18,Hierarchy Rock,Jason Trachtenburg,jason-trachtenburg,Revolutions Per Minute,04:30,Back from the solo days
19,I Pray When I'm Drunk,Robyn Hitchcock,robyn-hitchcock,Robyn Hitchcock,02:06,Refreshingly honest
20,Big Noise From Winnetka,Asylum Street Spankers,asylum-street-spankers,What? And Give Up Show Biz?,04:10,Whistling it out
21,BREAK
22,The Lunatics (Have Taken Over the Asylum),Beatsteaks,beatsteaks,PLEASE,03:13,Originally from the Fun Boy Three
