sequence,song,artist,artist_slug,album,time,notes
1,BLACK COUNTRY GOTHIC,BIG SPECIAL,big-special,POSTINDUSTRIAL HOMETOWN BLUES,02:58,Sound the alarms
2,BREAK
3,Forget,Dehd,dehd,Poetry,03:55,Rich textures
4,"Holding you, Holding me",Cigarettes After Sex,cigarettes-after-sex,X's,03:30,Like a lullaby
5,Milk Boy (I Love You),King Hannah,king-hannah,Big Swimmer,03:54,Somewhat shady
6,Burial Ground,The Decemberists,decemberists,"As It Ever Was, So It Will Be Again",04:05,A happy place
7,BREAK
8,How It Used To Be,The Human Circuit,human-circuit,Electric City,02:51,Oddly metered
9,Grey Sky Blue,Fastball,fastball,Sonic Ranch,02:41,Felling like Croce
10,Far Gone,Lake Street Dive,lake-street-dive,Good Together,02:03,Featuring whistling!
11,BREAK
12,Forever,Mother Mother,mother-mother,Grief Chapter,05:50,An ominous title
13,Bill Bailey,The Gun Club,gun-club,Mother Juno,03:43,Ancient history
14,"Crisis, Patience, Allegiance",Molecular Steve,molecular-steve,Molecular Steve,04:16,Unusual perspectives
15,BREAK
16,No Thank You For The Music,Frank Turner,frank-turner,Undefeated,03:50,With a full band
17,Okie Dokie,Dan Deacon,dan-deacon,Spiderman Of The Rings,02:37,Everyone needs a rattlesnake gun
18,Donut,Optiganally Yours,optiganally-yours,Exclusively Talentmaker!,02:14,Quite a bargain
19,BREAK
20,Hey Baby,Mocean Worker,mocean-worker,Aural & Hearty,03:46,Hey
